Entity,Code,Year,"Health expenditure, public (% of government expenditure) (% of government expenditure)"
China,CHN,2008,10.13371551
China,CHN,2009,10.31396151
China,CHN,2010,10.23713459
China,CHN,2011,10.61685285
China,CHN,2012,10.48547293
China,CHN,2013,10.28492085
China,CHN,2014,10.43262803
Colombia,COL,1995,17.20967816
Colombia,COL,1996,20.36290815
Colombia,COL,1997,22.12822196
Colombia,COL,1998,22.68503519
Colombia,COL,1999,20.99568734
Colombia,COL,2000,19.30496151
Colombia,COL,2001,16.8816462
Colombia,COL,2002,16.71941133
Colombia,COL,2003,18.59795763
Colombia,COL,2004,15.37872082
Colombia,COL,2005,15.70597986
Colombia,COL,2006,16.43640642
Colombia,COL,2007,16.69975205
Colombia,COL,2008,18.00168356
Colombia,COL,2009,18.29034748
Colombia,COL,2010,18.10473843
Colombia,COL,2011,20.55019034
Colombia,COL,2012,18.87406411
Colombia,COL,2013,18.14280077
Colombia,COL,2014,18.14111324
Comoros,COM,1995,8.17902244
Comoros,COM,1996,8.13780008
Comoros,COM,1997,8.84923122
Comoros,COM,1998,8.59467993
Comoros,COM,1999,10.5302858
Comoros,COM,2000,9.32021687
Comoros,COM,2001,4.98115975
Comoros,COM,2002,6.79407552
Comoros,COM,2003,8.28115158
Comoros,COM,2004,10.16567945
Comoros,COM,2005,11.24700908
Comoros,COM,2006,11.88425187
Comoros,COM,2007,12.48696686
Comoros,COM,2008,11.7333506
Comoros,COM,2009,7.32344649
Comoros,COM,2010,6.15457298
Comoros,COM,2011,7.19253261
Comoros,COM,2012,9.94122903
Comoros,COM,2013,7.38351558
Comoros,COM,2014,8.66237231
Congo,COG,1995,5.71659061
Congo,COG,1996,5.78783894
Congo,COG,1997,5.07018094
Congo,COG,1998,5.17732137
Congo,COG,1999,5.3423389
Congo,COG,2000,4.7927365
Congo,COG,2001,4.23145959
Congo,COG,2002,3.6399372
Congo,COG,2003,4.36428882
Congo,COG,2004,5.12516855
Congo,COG,2005,6.18350296
Congo,COG,2006,5.46004559
Congo,COG,2007,5.30908802
Congo,COG,2008,5.23692975
Congo,COG,2009,4.62370304
Congo,COG,2010,6.46768627
Congo,COG,2011,7.58731932
Congo,COG,2012,8.70635969
Congo,COG,2013,8.70635969
Congo,COG,2014,8.70635969
Costa Rica,CRI,1995,20.85702467
Costa Rica,CRI,1996,21.70893728
Costa Rica,CRI,1997,21.13937274
Costa Rica,CRI,1998,25.30537395
Costa Rica,CRI,1999,23.8016841
Costa Rica,CRI,2000,24.25268202
Costa Rica,CRI,2001,21.81131103
Costa Rica,CRI,2002,24.43943341
Costa Rica,CRI,2003,25.68254902
Costa Rica,CRI,2004,23.5725426
Costa Rica,CRI,2005,21.34630336
Costa Rica,CRI,2006,22.05601594
Costa Rica,CRI,2007,24.6336161
Costa Rica,CRI,2008,26.08989871
Costa Rica,CRI,2009,30.60737344
Costa Rica,CRI,2010,28.9922897
Costa Rica,CRI,2011,26.45466662
Costa Rica,CRI,2012,25.72010815
Costa Rica,CRI,2013,24.05637088
Costa Rica,CRI,2014,23.34114592
Cote d'Ivoire,CIV,1995,6.83274145
Cote d'Ivoire,CIV,1996,8.31196595
Cote d'Ivoire,CIV,1997,9.17110786
Cote d'Ivoire,CIV,1998,9.02382101
Cote d'Ivoire,CIV,1999,9.01286826
Cote d'Ivoire,CIV,2000,10.03101834
Cote d'Ivoire,CIV,2001,8.04103402
Cote d'Ivoire,CIV,2002,7.61619558
Cote d'Ivoire,CIV,2003,7.38911818
Cote d'Ivoire,CIV,2004,7.72954766
Cote d'Ivoire,CIV,2005,6.99114132
Cote d'Ivoire,CIV,2006,7.65879086
Cote d'Ivoire,CIV,2007,7.53564557
Cote d'Ivoire,CIV,2008,7.47907297
Cote d'Ivoire,CIV,2009,8.48701216
Cote d'Ivoire,CIV,2010,8.22452331
Cote d'Ivoire,CIV,2011,8.86960331
Cote d'Ivoire,CIV,2012,8.52093645
Cote d'Ivoire,CIV,2013,8.20381845
Cote d'Ivoire,CIV,2014,7.34924624
Croatia,HRV,1995,12.84234361
Croatia,HRV,1996,13.09315602
Croatia,HRV,1997,10.59316854
Croatia,HRV,1998,11.59549233
Croatia,HRV,1999,12.12684834
Croatia,HRV,2000,13.02050918
Croatia,HRV,2001,12.4132074
Croatia,HRV,2002,10.78375304
Croatia,HRV,2003,11.92169495
Croatia,HRV,2004,11.91797109
Croatia,HRV,2005,13.65672895
Croatia,HRV,2006,13.69153069
Croatia,HRV,2007,14.90907663
Croatia,HRV,2008,15.26080521
Croatia,HRV,2009,15.26080521
Croatia,HRV,2010,15.26080521
Croatia,HRV,2011,13.15571696
Croatia,HRV,2012,13.99284874
Croatia,HRV,2013,13.99284874
Croatia,HRV,2014,13.99284874
Cuba,CUB,1995,8.02375263
Cuba,CUB,1996,9.28708003
Cuba,CUB,1997,9.99004944
Cuba,CUB,1998,10.29728136
Cuba,CUB,1999,11.06842754
Cuba,CUB,2000,10.80359778
Cuba,CUB,2001,11.39178682
Cuba,CUB,2002,11.1846544
Cuba,CUB,2003,10.89011083
Cuba,CUB,2004,10.32043238
Cuba,CUB,2005,13.73156972
Cuba,CUB,2006,11.20669737
Cuba,CUB,2007,14.48242925
Cuba,CUB,2008,13.17875649
Cuba,CUB,2009,14.93340098
Cuba,CUB,2010,13.8676483
Cuba,CUB,2011,15.0994241
Cuba,CUB,2012,11.54663288
Cuba,CUB,2013,14.1460338
Cuba,CUB,2014,18.01094643
Cyprus,CYP,1995,5.08119822
Cyprus,CYP,1996,5.01615201
Cyprus,CYP,1997,5.34497079
Cyprus,CYP,1998,6.37641749
Cyprus,CYP,1999,6.51166706
Cyprus,CYP,2000,6.48267796
Cyprus,CYP,2001,6.45222253
Cyprus,CYP,2002,6.88569557
Cyprus,CYP,2003,6.91818462
Cyprus,CYP,2004,6.63321597
Cyprus,CYP,2005,6.17487152
Cyprus,CYP,2006,6.25681086
Cyprus,CYP,2007,6.23771093
Cyprus,CYP,2008,6.76700332
Cyprus,CYP,2009,7.16034795
Cyprus,CYP,2010,7.41931831
Cyprus,CYP,2011,7.58121063
Cyprus,CYP,2012,7.45557803
Cyprus,CYP,2013,7.58416196
Cyprus,CYP,2014,7.58416196
Czech Republic,CZE,1995,11.47697152
Czech Republic,CZE,1996,13.94921855
Czech Republic,CZE,1997,13.57456703
Czech Republic,CZE,1998,13.51058309
Czech Republic,CZE,1999,13.60524051
Czech Republic,CZE,2000,13.69261734
Czech Republic,CZE,2001,13.13185446
Czech Republic,CZE,2002,13.48702878
Czech Republic,CZE,2003,12.80949608
Czech Republic,CZE,2004,14.22047471
Czech Republic,CZE,2005,14.07687302
Czech Republic,CZE,2006,13.83319448
Czech Republic,CZE,2007,13.53960035
Czech Republic,CZE,2008,13.67951156
Czech Republic,CZE,2009,14.70344844
Czech Republic,CZE,2010,14.23114675
Czech Republic,CZE,2011,14.62935112
Czech Republic,CZE,2012,14.24886832
Czech Republic,CZE,2013,14.90725275
Czech Republic,CZE,2014,14.90725275
Democratic Republic of Congo,COD,1995,2.16385226
Democratic Republic of Congo,COD,1996,1.62055093
Democratic Republic of Congo,COD,1997,2.4461828
Democratic Republic of Congo,COD,1998,2.02361176
Democratic Republic of Congo,COD,1999,2.60176071
Democratic Republic of Congo,COD,2000,1.7848314
Democratic Republic of Congo,COD,2001,2.79408818
Democratic Republic of Congo,COD,2002,2.44139872
Democratic Republic of Congo,COD,2003,10.74010747
Democratic Republic of Congo,COD,2004,4.95197107
Democratic Republic of Congo,COD,2005,6.18407057
Democratic Republic of Congo,COD,2006,8.32080297
Democratic Republic of Congo,COD,2007,9.88512813
Democratic Republic of Congo,COD,2008,12.66208191
Democratic Republic of Congo,COD,2009,18.68659787
Democratic Republic of Congo,COD,2010,7.81443346
Democratic Republic of Congo,COD,2011,7.16120239
Democratic Republic of Congo,COD,2012,11.6025168
Democratic Republic of Congo,COD,2013,9.28150182
Democratic Republic of Congo,COD,2014,11.05626274
Denmark,DNK,1995,11.31097743
Denmark,DNK,1996,11.48807908
Denmark,DNK,1997,11.83157532
Denmark,DNK,1998,11.88440245
Denmark,DNK,1999,13.54537598
Denmark,DNK,2000,13.59251121
Denmark,DNK,2001,14.13653364
Denmark,DNK,2002,14.44735121
Denmark,DNK,2003,14.60026059
Denmark,DNK,2004,14.94499477
Denmark,DNK,2005,15.63456979
Denmark,DNK,2006,16.28283846
Denmark,DNK,2007,16.59071461
Denmark,DNK,2008,16.73300024
Denmark,DNK,2009,16.79450644
Denmark,DNK,2010,16.33999471
Denmark,DNK,2011,16.05835563
Denmark,DNK,2012,15.85160701
Denmark,DNK,2013,16.77062335
Denmark,DNK,2014,16.77062335
Djibouti,DJI,1995,6.22406084
Djibouti,DJI,1996,6.72200795
Djibouti,DJI,1997,7.81325411
Djibouti,DJI,1998,10.35987317
Djibouti,DJI,1999,13.22588674
Djibouti,DJI,2000,11.965921
Djibouti,DJI,2001,11.84238509
Djibouti,DJI,2002,10.70104727
Djibouti,DJI,2003,11.47966709
Djibouti,DJI,2004,12.26931177
Djibouti,DJI,2005,13.41162991
Djibouti,DJI,2006,12.5758477
Djibouti,DJI,2007,14.13973888
Djibouti,DJI,2008,14.13973888
Djibouti,DJI,2009,14.13973888
Djibouti,DJI,2010,14.13973888
Djibouti,DJI,2011,14.13973888
Djibouti,DJI,2012,14.13973888
Djibouti,DJI,2013,14.13973888
Djibouti,DJI,2014,14.13973888
Dominica,DMA,1995,11.94824311
Dominica,DMA,1996,10.68797142
Dominica,DMA,1997,10.7606679
Dominica,DMA,1998,8.95338067
Dominica,DMA,1999,8.44832442
Dominica,DMA,2000,6.64010624
Dominica,DMA,2001,8.50099178
Dominica,DMA,2002,9.09366475
Dominica,DMA,2003,7.89473684
Dominica,DMA,2004,8.21818678
Dominica,DMA,2005,7.94239874
Dominica,DMA,2006,10.66995056
Dominica,DMA,2007,8.24480939
Dominica,DMA,2008,8.68422268
Dominica,DMA,2009,9.98185943
Dominica,DMA,2010,10.59142745
Dominica,DMA,2011,12.15602049
Dominica,DMA,2012,9.62106618
Dominica,DMA,2013,10.58155898
Dominica,DMA,2014,10.47270176
Dominican Republic,DOM,1995,10.68779265
Dominican Republic,DOM,1996,10.97291541
Dominican Republic,DOM,1997,11.81626979
Dominican Republic,DOM,1998,13.82123253
Dominican Republic,DOM,1999,14.09314328
Dominican Republic,DOM,2000,15.86291579
Dominican Republic,DOM,2001,11.88478332
Dominican Republic,DOM,2002,12.15000091
Dominican Republic,DOM,2003,12.34624006
Dominican Republic,DOM,2004,7.53833797
Dominican Republic,DOM,2005,7.86671331
Dominican Republic,DOM,2006,9.02037348
Dominican Republic,DOM,2007,10.61083899
Dominican Republic,DOM,2008,9.59807051
Dominican Republic,DOM,2009,11.86819745
Dominican Republic,DOM,2010,12.18682821
Dominican Republic,DOM,2011,14.64881919
Dominican Republic,DOM,2012,14.35662097
Dominican Republic,DOM,2013,15.53786666
Dominican Republic,DOM,2014,17.36030647
Early-demographic dividend,,1995,9.7450979154883
Early-demographic dividend,,1996,9.45858255516238
Early-demographic dividend,,1997,9.52909733495608
Early-demographic dividend,,1998,10.2639530407979
Early-demographic dividend,,1999,9.90557862754926
Early-demographic dividend,,2000,10.3677175004011
Early-demographic dividend,,2001,9.89924827918698
Early-demographic dividend,,2002,8.32216314325529
Early-demographic dividend,,2003,8.50996644051156
Early-demographic dividend,,2004,8.63050943159493
Early-demographic dividend,,2005,8.58329754062114
Early-demographic dividend,,2006,8.59968761609312
Early-demographic dividend,,2007,8.59107905636359
Early-demographic dividend,,2008,8.86673185026038
Early-demographic dividend,,2009,9.15459062104417
Early-demographic dividend,,2010,8.84050437634733
Early-demographic dividend,,2011,9.03325823677527
Early-demographic dividend,,2012,8.74617494818753
Early-demographic dividend,,2013,8.68451423836832
Ecuador,ECU,1995,9.62004569
Ecuador,ECU,1996,11.20473227
Ecuador,ECU,1997,10.51116071
Ecuador,ECU,1998,9.36099864
Ecuador,ECU,1999,8.53668187
Ecuador,ECU,2000,5.08158663
Ecuador,ECU,2001,7.52778223
Ecuador,ECU,2002,8.57534194
Ecuador,ECU,2003,7.47277639
Ecuador,ECU,2004,5.87994468
Ecuador,ECU,2005,5.62242249
Ecuador,ECU,2006,5.07249078
Ecuador,ECU,2007,5.44893617
Ecuador,ECU,2008,4.62710229
Ecuador,ECU,2009,6.63294517
Ecuador,ECU,2010,7.09136509
Ecuador,ECU,2011,6.60079179
Ecuador,ECU,2012,7.32124371
Ecuador,ECU,2013,8.76083351
Ecuador,ECU,2014,10.22916129
Egypt,EGY,1995,5.34540478
Egypt,EGY,1996,5.46405205
Egypt,EGY,1997,6.28727621
Egypt,EGY,1998,8.07225797
Egypt,EGY,1999,7.19965798
Egypt,EGY,2000,7.33037018
Egypt,EGY,2001,7.69204152
Egypt,EGY,2002,6.72147783
Egypt,EGY,2003,6.09782988
Egypt,EGY,2004,5.92930389
Egypt,EGY,2005,6.05239126
Egypt,EGY,2006,6.05707562
Egypt,EGY,2007,5.80358024
Egypt,EGY,2008,5.63595284
Egypt,EGY,2009,5.95168047
Egypt,EGY,2010,5.60240095
Egypt,EGY,2011,6.25830761
Egypt,EGY,2012,5.84574557
Egypt,EGY,2013,5.54561079
Egypt,EGY,2014,5.58768476
El Salvador,SLV,1995,13.46709748
El Salvador,SLV,1996,13.91070913
El Salvador,SLV,1997,14.14467491
El Salvador,SLV,1998,14.84108268
El Salvador,SLV,1999,14.47627628
El Salvador,SLV,2000,15.07832953
El Salvador,SLV,2001,14.20262448
El Salvador,SLV,2002,11.94898065
El Salvador,SLV,2003,15.88216333
El Salvador,SLV,2004,15.14227649
El Salvador,SLV,2005,15.53947878
El Salvador,SLV,2006,15.9085738
El Salvador,SLV,2007,15.62352804
El Salvador,SLV,2008,15.01391126
El Salvador,SLV,2009,12.37396042
El Salvador,SLV,2010,13.50724583
El Salvador,SLV,2011,14.70327771
El Salvador,SLV,2012,15.45819278
El Salvador,SLV,2013,16.77614018
El Salvador,SLV,2014,16.69398283
Equatorial Guinea,GNQ,1995,15.25743453
Equatorial Guinea,GNQ,1996,11.679724
Equatorial Guinea,GNQ,1997,12.90806831
Equatorial Guinea,GNQ,1998,8.65785724
Equatorial Guinea,GNQ,1999,8.65785724
Equatorial Guinea,GNQ,2000,8.65785724
Equatorial Guinea,GNQ,2001,8.65785724
Equatorial Guinea,GNQ,2002,8.65785724
Equatorial Guinea,GNQ,2003,8.65785724
Equatorial Guinea,GNQ,2004,6.49876742
Equatorial Guinea,GNQ,2005,6.49876742
Equatorial Guinea,GNQ,2006,6.49876742
Equatorial Guinea,GNQ,2007,6.49876742
Equatorial Guinea,GNQ,2008,7.05279315
Equatorial Guinea,GNQ,2009,6.95716349
Equatorial Guinea,GNQ,2010,6.95716349
Equatorial Guinea,GNQ,2011,6.95716349
Equatorial Guinea,GNQ,2012,6.95716349
Equatorial Guinea,GNQ,2013,6.95716349
Equatorial Guinea,GNQ,2014,6.95716349
Eritrea,ERI,1995,2.99805407
Eritrea,ERI,1996,2.13967781
Eritrea,ERI,1997,3.42184906
Eritrea,ERI,1998,2.40851688
Eritrea,ERI,1999,2.05079173
Eritrea,ERI,2000,2.61121857
Eritrea,ERI,2001,2.59625963
Eritrea,ERI,2002,3.22580645
Eritrea,ERI,2003,2.97142857
Eritrea,ERI,2004,3.56603774
Eritrea,ERI,2005,1.83168317
Eritrea,ERI,2006,3.55612493
Eritrea,ERI,2007,3.5952381
Eritrea,ERI,2008,3.5952381
Eritrea,ERI,2009,3.5952381
Eritrea,ERI,2010,3.5952381
Eritrea,ERI,2011,3.5952381
Eritrea,ERI,2012,3.5952381
Eritrea,ERI,2013,3.5952381
Eritrea,ERI,2014,3.5952381
Estonia,EST,1995,13.74489432
Estonia,EST,1996,14.72689172
Estonia,EST,1997,14.75448673
Estonia,EST,1998,12.23769075
Estonia,EST,1999,11.29997211
Estonia,EST,2000,11.29553728
Estonia,EST,2001,10.97411483
Estonia,EST,2002,10.44912634
Estonia,EST,2003,10.84898537
Estonia,EST,2004,11.41696543
Estonia,EST,2005,11.46589125
Estonia,EST,2006,10.93664022
Estonia,EST,2007,11.47685066
Estonia,EST,2008,11.88166066
Estonia,EST,2009,11.66063122
Estonia,EST,2010,12.31235082
Estonia,EST,2011,12.30300811
Estonia,EST,2012,12.99489496
Estonia,EST,2013,13.5387037
Estonia,EST,2014,13.5387037
Ethiopia,ETH,1995,6.97462124
Ethiopia,ETH,1996,7.01380155
Ethiopia,ETH,1997,7.28993711
Ethiopia,ETH,1998,7.67231419
Ethiopia,ETH,1999,6.92107756
Ethiopia,ETH,2000,9.35782201
Ethiopia,ETH,2001,9.74012739
Ethiopia,ETH,2002,9.71818182
Ethiopia,ETH,2003,9.22731707
Ethiopia,ETH,2004,10.11121951
Ethiopia,ETH,2005,11.16303621
Ethiopia,ETH,2006,11.45152831
Ethiopia,ETH,2007,12.51852694
Ethiopia,ETH,2008,11.85051895
Ethiopia,ETH,2009,14.15898428
Ethiopia,ETH,2010,19.83680575
Ethiopia,ETH,2011,19.01085534
Ethiopia,ETH,2012,18.53255031
Ethiopia,ETH,2013,15.94214416
Ethiopia,ETH,2014,15.74970497
Euro area,,1995,12.6753761517276
Euro area,,1996,13.3558657595797
Euro area,,1997,13.6334135051384
Euro area,,1998,13.8116168492033
Euro area,,1999,13.9450184576618
Euro area,,2000,14.5763680271997
Euro area,,2001,14.4777756907815
Euro area,,2002,14.7411717503192
Euro area,,2003,14.8440965143975
Euro area,,2004,15.0233461910098
Euro area,,2005,15.4301118737468
Euro area,,2006,15.7325993302137
Euro area,,2007,15.7507036904738
Euro area,,2008,15.8287571975219
Euro area,,2009,15.7999931524299
Euro area,,2010,15.6762347977172
Euro area,,2011,15.903004530902
Euro area,,2012,15.8121535253589
Euro area,,2013,16.0480651786679
Euro area,,2014,16.0920869316972
Europe & Central Asia,,1995,12.5264772542861
Europe & Central Asia,,1996,13.1556044433579
Europe & Central Asia,,1997,13.3513840501515
Europe & Central Asia,,1998,13.4987353758369
Europe & Central Asia,,1999,13.8391951360963
Europe & Central Asia,,2000,14.4649025954575
Europe & Central Asia,,2001,14.308126610253
Europe & Central Asia,,2002,14.5560780538908
Europe & Central Asia,,2003,14.679669038273
Europe & Central Asia,,2004,14.8649759375121
Europe & Central Asia,,2005,15.1453973213092
Europe & Central Asia,,2006,15.3160909186685
Europe & Central Asia,,2007,15.2544248429094
Europe & Central Asia,,2008,15.1530869604481
Europe & Central Asia,,2009,15.2292276339412
Europe & Central Asia,,2010,15.0532182718524
Europe & Central Asia,,2011,15.3242053780072
Europe & Central Asia,,2012,15.2262987580665
Europe & Central Asia,,2013,15.3776133240468
Europe & Central Asia,,2014,15.4300177612935
Europe & Central Asia (IDA & IBRD),,1995,9.2787810338952
Europe & Central Asia (IDA & IBRD),,1998,10.0967053160485
Europe & Central Asia (IDA & IBRD),,1999,9.71231715432079
Europe & Central Asia (IDA & IBRD),,2000,10.8831799713895
Europe & Central Asia (IDA & IBRD),,2001,10.9856311198989
Europe & Central Asia (IDA & IBRD),,2002,10.8167129539783
Europe & Central Asia (IDA & IBRD),,2003,11.0176519211225
Europe & Central Asia (IDA & IBRD),,2004,11.0887344324105
Europe & Central Asia (IDA & IBRD),,2006,10.7248199401824
Europe & Central Asia (IDA & IBRD),,2007,10.7138424368472
Europe & Central Asia (IDA & IBRD),,2008,11.1492481744468
Europe & Central Asia (IDA & IBRD),,2009,10.8678599389477
Europe & Central Asia (IDA & IBRD),,2010,10.7109440214779
Europe & Central Asia (IDA & IBRD),,2011,10.7104723965155
Europe & Central Asia (IDA & IBRD),,2012,10.6789974643815
Europe & Central Asia (IDA & IBRD),,2013,10.4929457359575
Europe & Central Asia (IDA & IBRD),,2014,10.2746629237567
Europe & Central Asia (excluding high income),,1995,9.74088947958569
Europe & Central Asia (excluding high income),,1998,10.5852477925392
Europe & Central Asia (excluding high income),,1999,9.93114139569934
Europe & Central Asia (excluding high income),,2000,11.6724590019283
Europe & Central Asia (excluding high income),,2001,11.7130584042351
Europe & Central Asia (excluding high income),,2008,11.1582666789606
Europe & Central Asia (excluding high income),,2009,10.7894381561217
Europe & Central Asia (excluding high income),,2010,10.7038867797359
Europe & Central Asia (excluding high income),,2011,10.6935868912003
Europe & Central Asia (excluding high income),,2012,10.6669737627692
Europe & Central Asia (excluding high income),,2013,10.4589294721944
Europe & Central Asia (excluding high income),,2014,10.2005849140422
European Union,,1995,12.5467364523136
European Union,,1996,13.1567610950086
European Union,,1997,13.3438785940147
European Union,,1998,13.5438118020783
European Union,,1999,13.8273073563416
European Union,,2000,14.4659874244321
European Union,,2001,14.2883568948024
European Union,,2002,14.5556331573168
European Union,,2003,14.678761934015
European Union,,2004,14.8819813040598
European Union,,2005,15.1803791227203
European Union,,2006,15.4347622479028
European Union,,2007,15.4539349636538
European Union,,2008,15.4624443718962
European Union,,2009,15.6019215672028
European Union,,2010,15.4721007604559
European Union,,2011,15.7757419830796
European Union,,2012,15.7283508463341
European Union,,2013,15.9636841111778
European Union,,2014,15.998752471449
Fiji,FJI,1995,9.35154921
Fiji,FJI,1996,8.8754033
Fiji,FJI,1997,8.71788238
Fiji,FJI,1998,8.44631933
Fiji,FJI,1999,9.37736596
Fiji,FJI,2000,11.31596345
Fiji,FJI,2001,8.6674593
Fiji,FJI,2002,9.12209764
Fiji,FJI,2003,8.95441854
Fiji,FJI,2004,10.32475073
Fiji,FJI,2005,10.75504323
Fiji,FJI,2006,10.38562259
Fiji,FJI,2007,10.22636458
Fiji,FJI,2008,10.93992532
Fiji,FJI,2009,10.08113512
Fiji,FJI,2010,10.70323524
Fiji,FJI,2011,9.22784396
Fiji,FJI,2012,9.49297449
Fiji,FJI,2013,9.66773865
Fiji,FJI,2014,9.24746846
Finland,FIN,1995,9.14623775
Finland,FIN,1996,9.57563823
Finland,FIN,1997,9.835989
Finland,FIN,1998,10.06261751
Finland,FIN,1999,10.18654296
Finland,FIN,2000,10.64226155
Finland,FIN,2001,11.14390148
Finland,FIN,2002,11.54843051
Finland,FIN,2003,11.79420115
Finland,FIN,2004,11.98071317
Finland,FIN,2005,12.35777624
Finland,FIN,2006,12.76388961
Finland,FIN,2007,12.72822012
Finland,FIN,2008,12.70790964
Finland,FIN,2009,12.28902169
Finland,FIN,2010,12.07930216
Finland,FIN,2011,12.25088429
Finland,FIN,2012,12.4167336
Finland,FIN,2013,12.32317814
Finland,FIN,2014,12.35047449
France,FRA,1995,14.87190134
France,FRA,1996,14.82184427
France,FRA,1997,14.73477852
France,FRA,1998,14.9859653
France,FRA,1999,15.04367008
France,FRA,2000,15.17648318
France,FRA,2001,15.32497093
France,FRA,2002,15.56767063
France,FRA,2003,15.39818209
France,FRA,2004,15.62413733
France,FRA,2005,15.6327997
France,FRA,2006,15.57000193
France,FRA,2007,15.54421349
France,FRA,2008,15.41661045
France,FRA,2009,15.40933898
France,FRA,2010,15.37649652
France,FRA,2011,15.6138175
France,FRA,2012,15.53038182
France,FRA,2013,15.62424977
France,FRA,2014,15.68728706
Gabon,GAB,1995,5.20995749
Gabon,GAB,1996,6.24436943
Gabon,GAB,1997,3.78146841
Gabon,GAB,1998,3.57319337
Gabon,GAB,1999,4.47127476
Gabon,GAB,2000,5.30079123
Gabon,GAB,2001,4.61975763
Gabon,GAB,2002,5.05201798
Gabon,GAB,2003,7.02399665
Gabon,GAB,2004,7.07678983
Gabon,GAB,2005,5.2421127
Gabon,GAB,2006,5.56674501
Gabon,GAB,2007,6.53473221
Gabon,GAB,2008,5.68564619
Gabon,GAB,2009,6.85052085
Gabon,GAB,2010,10.65750424
Gabon,GAB,2011,7.77798827
Gabon,GAB,2012,8.23641676
Gabon,GAB,2013,10.05956155
Gabon,GAB,2014,7.38011364
Gambia,GMB,1995,6.88744839
Gambia,GMB,1996,6.04501582
Gambia,GMB,1997,6.71870238
Gambia,GMB,1998,10.39426357
Gambia,GMB,1999,10.40186103
Gambia,GMB,2000,10.37205159
Gambia,GMB,2001,8.22562783
Gambia,GMB,2002,8.66303012
Gambia,GMB,2003,12.87075052
Gambia,GMB,2004,11.65616319
Gambia,GMB,2005,13.04760814
Gambia,GMB,2006,14.16588453
Gambia,GMB,2007,18.60343979
Gambia,GMB,2008,18.55989873
Gambia,GMB,2009,14.7044574
Gambia,GMB,2010,14.54806029
Gambia,GMB,2011,14.48222372
Gambia,GMB,2012,12.38943206
Gambia,GMB,2013,15.31002479
Gambia,GMB,2014,15.31002479
Georgia,GEO,1995,2.47680704
Georgia,GEO,1996,4.51678263
Georgia,GEO,1997,6.51806727
Georgia,GEO,1998,5.89208995
Georgia,GEO,1999,5.4778089
Georgia,GEO,2000,6.91480174
Georgia,GEO,2001,7.77650445
Georgia,GEO,2002,7.77349921
Georgia,GEO,2003,7.06300184
Georgia,GEO,2004,5.59784136
Georgia,GEO,2005,6.15010483
Georgia,GEO,2006,5.87598714
Georgia,GEO,2007,4.25590968
Georgia,GEO,2008,4.77994782
Georgia,GEO,2009,6.07107715
Georgia,GEO,2010,6.55262795
Georgia,GEO,2011,5.34094183
Georgia,GEO,2012,3.81764393
Georgia,GEO,2013,4.22120686
Georgia,GEO,2014,5.00484907
Germany,DEU,1995,14.0480917
Germany,DEU,1996,16.58559601
Germany,DEU,1997,16.82512635
Germany,DEU,1998,16.86097443
Germany,DEU,1999,16.79932902
Germany,DEU,2000,17.87481338
Germany,DEU,2001,17.12662282
Germany,DEU,2002,17.31038115
Germany,DEU,2003,17.33614684
Germany,DEU,2004,17.10100136
Germany,DEU,2005,17.33049608
Germany,DEU,2006,17.58202104
Germany,DEU,2007,18.05930495
Germany,DEU,2008,18.13454838
Germany,DEU,2009,18.30717945
Germany,DEU,2010,18.14760105
Germany,DEU,2011,18.5811272
Germany,DEU,2012,18.81069824
Germany,DEU,2013,19.25261037
Germany,DEU,2014,19.64679604
Ghana,GHA,1995,10.83659278
Ghana,GHA,1996,10.78938395
Ghana,GHA,1997,10.97074229
Ghana,GHA,1998,11.02027175
Ghana,GHA,1999,9.89834927
Ghana,GHA,2000,7.84956549
Ghana,GHA,2001,9.3357493
Ghana,GHA,2002,8.45066667
Ghana,GHA,2003,8.33336508
Ghana,GHA,2004,12.58204988
Ghana,GHA,2005,15.07607425
Ghana,GHA,2006,13.98460999
Ghana,GHA,2007,16.15749752
Ghana,GHA,2008,13.14973119
Ghana,GHA,2009,16.44812389
Ghana,GHA,2010,14.92779308
Ghana,GHA,2011,14.02724033
Ghana,GHA,2012,9.31846833
Ghana,GHA,2013,10.5809681
Ghana,GHA,2014,6.81968861
Greece,GRC,1995,9.35083744
Greece,GRC,1996,9.5948506
Greece,GRC,1997,9.68366044
Greece,GRC,1998,9.12209354
Greece,GRC,1999,9.40420088
Greece,GRC,2000,9.82691575
Greece,GRC,2001,11.1904898
Greece,GRC,2002,11.03927331
Greece,GRC,2003,11.04672785
Greece,GRC,2004,10.30931188
Greece,GRC,2005,12.35101016
Greece,GRC,2006,12.83522565
Greece,GRC,2007,12.06266891
Greece,GRC,2008,11.51304611
Greece,GRC,2009,12.54351914
Greece,GRC,2010,11.84871013
Greece,GRC,2011,12.32195036
Greece,GRC,2012,11.37497184
Greece,GRC,2013,9.98286342
Greece,GRC,2014,9.98286342
Grenada,GRD,1995,10.43162791
Grenada,GRD,1996,9.23076923
Grenada,GRD,1997,9.25266904
Grenada,GRD,1998,9.50819672
Grenada,GRD,1999,11.76470588
Grenada,GRD,2000,13.22404372
Grenada,GRD,2001,15.06413302
Grenada,GRD,2002,9.70188679
Grenada,GRD,2003,10.35057771
Grenada,GRD,2004,10.73338256
Grenada,GRD,2005,10.76680255
Grenada,GRD,2006,9.79066472
Grenada,GRD,2007,10.30361233
Grenada,GRD,2008,9.49705348
