Entity,Code,Year,"Indicator 3.b.1: Geometric mean of the coverage of eight vaccines, conditional on inclusion in national vaccine schedules, in target populations (%) - Past - Unscaled (%)"
Cote d'Ivoire,CIV,2000,69.755
Cote d'Ivoire,CIV,2005,75.306
Cote d'Ivoire,CIV,2010,86.119
Cote d'Ivoire,CIV,2016,91.921
Croatia,HRV,1990,87.706
Croatia,HRV,1995,91.287
Croatia,HRV,2000,94.844
Croatia,HRV,2005,95.556
Croatia,HRV,2010,96.302
Croatia,HRV,2016,96.769
Cuba,CUB,1990,92.377
Cuba,CUB,1995,93.118
Cuba,CUB,2000,93.6
Cuba,CUB,2005,93.817
Cuba,CUB,2010,95.627
Cuba,CUB,2016,96.683
Cyprus,CYP,1990,88.357
Cyprus,CYP,1995,90.63
Cyprus,CYP,2000,93.895
Cyprus,CYP,2005,91.443
Cyprus,CYP,2010,91.535
Cyprus,CYP,2016,96.218
Czech Republic,CZE,1990,95.369
Czech Republic,CZE,1995,97.116
Czech Republic,CZE,2000,97.52
Czech Republic,CZE,2005,97.544
Czech Republic,CZE,2010,98.229
Czech Republic,CZE,2016,98.88
Democratic Republic of Congo,COD,1990,39.424
Democratic Republic of Congo,COD,1995,32.565
Democratic Republic of Congo,COD,2000,36.127
Democratic Republic of Congo,COD,2005,65.424
Democratic Republic of Congo,COD,2010,74.127
Democratic Republic of Congo,COD,2016,80.176
Denmark,DNK,1990,89.734
Denmark,DNK,1995,91.728
Denmark,DNK,2000,94.98
Denmark,DNK,2005,93.288
Denmark,DNK,2010,91.629
Denmark,DNK,2016,94.417
Djibouti,DJI,1990,57.276
Djibouti,DJI,1995,54.757
Djibouti,DJI,2000,53.012
Djibouti,DJI,2005,67.593
Djibouti,DJI,2010,73.834
Djibouti,DJI,2016,75.004
Dominica,DMA,1990,95.942
Dominica,DMA,1995,98.576
Dominica,DMA,2000,99.106
Dominica,DMA,2005,98.893
Dominica,DMA,2010,98.081
Dominica,DMA,2016,98.814
Dominican Republic,DOM,1990,63.031
Dominican Republic,DOM,1995,70.326
Dominican Republic,DOM,2000,71.044
Dominican Republic,DOM,2005,72.053
Dominican Republic,DOM,2010,76.624
Dominican Republic,DOM,2016,72.855
Ecuador,ECU,1990,73.035
Ecuador,ECU,1995,84.323
Ecuador,ECU,2000,90.421
Ecuador,ECU,2005,92.928
Ecuador,ECU,2010,93.115
Ecuador,ECU,2016,95.039
Egypt,EGY,1990,83.216
Egypt,EGY,1995,89.433
Egypt,EGY,2000,95.05
Egypt,EGY,2005,95.786
Egypt,EGY,2010,96.222
Egypt,EGY,2016,97.625
El Salvador,SLV,1990,69.5
El Salvador,SLV,1995,88.551
El Salvador,SLV,2000,94.376
El Salvador,SLV,2005,92.664
El Salvador,SLV,2010,92.108
El Salvador,SLV,2016,93.515
Equatorial Guinea,GNQ,1990,34.25
Equatorial Guinea,GNQ,1995,41.964
Equatorial Guinea,GNQ,2000,46.266
Equatorial Guinea,GNQ,2005,46.689
Equatorial Guinea,GNQ,2010,45.075
Equatorial Guinea,GNQ,2016,41.727
Eritrea,ERI,1990,30.616
Eritrea,ERI,1995,54.354
Eritrea,ERI,2000,75.402
Eritrea,ERI,2005,90.211
Eritrea,ERI,2010,95.094
Eritrea,ERI,2016,97.04
Estonia,EST,1990,85.44
Estonia,EST,1995,83.204
Estonia,EST,2000,94.229
Estonia,EST,2005,86.731
Estonia,EST,2010,94.338
Estonia,EST,2016,95.245
Ethiopia,ETH,1990,22.296
Ethiopia,ETH,1995,40.157
Ethiopia,ETH,2000,48.626
Ethiopia,ETH,2005,51.451
Ethiopia,ETH,2010,55.437
Ethiopia,ETH,2016,61.355
Fiji,FJI,1990,75.365
Fiji,FJI,1995,80.03
Fiji,FJI,2000,79.108
Fiji,FJI,2005,76.353
Fiji,FJI,2010,80.966
Fiji,FJI,2016,88.754
Finland,FIN,1990,93.072
Finland,FIN,1995,96.984
Finland,FIN,2000,97.456
Finland,FIN,2005,97.939
Finland,FIN,2010,98.597
Finland,FIN,2016,97.448
France,FRA,1990,81.414
France,FRA,1995,88.175
France,FRA,2000,74.265
France,FRA,2005,82.486
France,FRA,2010,88.667
France,FRA,2016,93.726
Gabon,GAB,1990,65.612
Gabon,GAB,1995,59.869
Gabon,GAB,2000,42.339
Gabon,GAB,2005,47.424
Gabon,GAB,2010,67.093
Gabon,GAB,2016,75.274
Gambia,GMB,1990,82.722
Gambia,GMB,1995,79.018
Gambia,GMB,2000,80.124
Gambia,GMB,2005,82.442
Gambia,GMB,2010,84.886
Gambia,GMB,2016,87.494
Georgia,GEO,1990,61.144
Georgia,GEO,1995,66.187
Georgia,GEO,2000,79.984
Georgia,GEO,2005,76.936
Georgia,GEO,2010,84.951
Georgia,GEO,2016,87.11
Germany,DEU,1990,74.239
Germany,DEU,1995,80.276
Germany,DEU,2000,80.89
Germany,DEU,2005,92.408
Germany,DEU,2010,74.068
Germany,DEU,2016,83.725
Ghana,GHA,1990,55.287
Ghana,GHA,1995,72.711
Ghana,GHA,2000,81.576
Ghana,GHA,2005,88.011
Ghana,GHA,2010,94.229
Ghana,GHA,2016,96.522
Greece,GRC,1990,84.559
Greece,GRC,1995,88.214
Greece,GRC,2000,93.943
Greece,GRC,2005,94.76
Greece,GRC,2010,91.668
Greece,GRC,2016,87.875
Grenada,GRD,1990,79.646
Grenada,GRD,1995,90.563
Grenada,GRD,2000,95.503
Grenada,GRD,2005,95.756
Grenada,GRD,2010,97.759
Grenada,GRD,2016,98.41
Guatemala,GTM,1990,65.275
Guatemala,GTM,1995,85.158
Guatemala,GTM,2000,95.244
Guatemala,GTM,2005,96.335
Guatemala,GTM,2010,95.117
Guatemala,GTM,2016,95.173
Guinea,GIN,1990,30.642
Guinea,GIN,1995,52.859
Guinea,GIN,2000,61.551
Guinea,GIN,2005,77.13
Guinea,GIN,2010,79.223
Guinea,GIN,2016,76.143
Guinea-Bissau,GNB,1990,65.851
Guinea-Bissau,GNB,1995,70.39
Guinea-Bissau,GNB,2000,69.938
Guinea-Bissau,GNB,2005,81.153
Guinea-Bissau,GNB,2010,89.247
Guinea-Bissau,GNB,2016,88.988
Guyana,GUY,1990,77.916
Guyana,GUY,1995,88.286
Guyana,GUY,2000,89.91
Guyana,GUY,2005,89.494
Guyana,GUY,2010,92.576
Guyana,GUY,2016,95.687
Haiti,HTI,1990,53.13
Haiti,HTI,1995,61.873
Haiti,HTI,2000,71.246
Haiti,HTI,2005,79.764
Haiti,HTI,2010,86.636
Haiti,HTI,2016,90.836
Honduras,HND,1990,83.836
Honduras,HND,1995,93.717
Honduras,HND,2000,94.402
Honduras,HND,2005,94.748
Honduras,HND,2010,95.46
Honduras,HND,2016,95.535
Hungary,HUN,1990,98.694
Hungary,HUN,1995,98.796
Hungary,HUN,2000,98.839
Hungary,HUN,2005,98.83
Hungary,HUN,2010,98.9
Hungary,HUN,2016,98.833
Iceland,ISL,1990,97.879
Iceland,ISL,1995,98.216
Iceland,ISL,2000,96.44
Iceland,ISL,2005,95.035
Iceland,ISL,2010,94.154
Iceland,ISL,2016,93.81
India,IND,1990,52.256
India,IND,1995,61.148
India,IND,2000,67.642
India,IND,2005,71.575
India,IND,2010,78.115
India,IND,2016,85.215
Indonesia,IDN,1990,61.823
Indonesia,IDN,1995,65.971
Indonesia,IDN,2000,66.117
Indonesia,IDN,2005,68.764
Indonesia,IDN,2010,71.069
Indonesia,IDN,2016,72.009
Iran,IRN,1990,90.09
Iran,IRN,1995,98.378
Iran,IRN,2000,98.864
Iran,IRN,2005,99.454
Iran,IRN,2010,99.755
Iran,IRN,2016,99.867
Iraq,IRQ,1990,58.504
Iraq,IRQ,1995,71.322
Iraq,IRQ,2000,73.457
Iraq,IRQ,2005,77.508
