Entity,Code,Year,p90 of income/consumption distribution ((international-$ per day)),p10 of income/consumption distribution ((international-$ per day))
Colombia (inc),,2008,26.216255,1.6802837
Colombia (inc),,2009,26.393211,1.8681796
Colombia (inc),,2010,28.615746,2.071439
Colombia (inc),,2011,29.63946,2.2939477
Colombia (inc),,2012,29.794449,2.3009536
Colombia (inc),,2013,31.342386,2.437458
Colombia (inc),,2014,32.989105,2.603261
Colombia (inc),,2015,31.971519,2.7329471
Colombia (inc),,2016,31.451052,2.7065496
Comoros (cons),,2004,18.425962,1.7913793
Comoros (cons),,2014,12.126895,1.3370779
Congo (cons),,2005,6.1739635,0.77945435
Congo (cons),,2011,8.3709211,0.86156869
Costa Rica (inc),,1981,11.385967,0.88122439
Costa Rica (inc),,1986,9.8135233,1.2435753
Costa Rica (inc),,1989,18.423445,0.87044311
Costa Rica (inc),,1990,19.418957,1.3665347
Costa Rica (inc),,1991,18.084473,1.276428
Costa Rica (inc),,1992,19.089066,1.4774107
Costa Rica (inc),,1993,22.108679,1.6276929
Costa Rica (inc),,1994,25.39784,2.0275793
Costa Rica (inc),,1995,23.84763,1.920061
Costa Rica (inc),,1996,22.721481,1.7185544
Costa Rica (inc),,1997,23.86603,2.1550105
Costa Rica (inc),,1998,26.860086,2.5513198
Costa Rica (inc),,1999,26.682188,2.1656635
Costa Rica (inc),,2000,26.407047,2.0992768
Costa Rica (inc),,2001,37.297943,2.7110033
Costa Rica (inc),,2002,38.078278,2.8452721
Costa Rica (inc),,2003,36.334206,2.8969707
Costa Rica (inc),,2004,33.757404,2.9667208
Costa Rica (inc),,2005,34.880978,3.4346187
Costa Rica (inc),,2006,37.28418,3.4166324
Costa Rica (inc),,2007,41.497314,4.1928988
Costa Rica (inc),,2008,41.451035,4.1566262
Costa Rica (inc),,2009,45.86467,4.1217742
Costa Rica (inc),,2010,44.670174,4.6549463
Costa Rica (inc),,2011,46.110207,4.5698395
Costa Rica (inc),,2012,47.665779,4.725316
Costa Rica (inc),,2013,49.217987,4.7807388
Costa Rica (inc),,2014,49.253288,4.886754
Costa Rica (inc),,2015,49.231853,4.8900499
Costa Rica (inc),,2016,50.875347,5.0323424
Cote d'Ivoire (cons),,1985,18.654001,2.205117
Cote d'Ivoire (cons),,1986,14.322437,2.6736574
Cote d'Ivoire (cons),,1987,13.565881,2.1790445
Cote d'Ivoire (cons),,1988,10.142879,1.8619242
Cote d'Ivoire (cons),,1993,8.3394508,1.3067509
Cote d'Ivoire (cons),,1995,9.0671301,1.5695319
Cote d'Ivoire (cons),,1998,7.5924053,1.3002393
Cote d'Ivoire (cons),,2002,8.369668,1.2637895
Cote d'Ivoire (cons),,2008,8.0233011,1.0036401
Cote d'Ivoire (cons),,2015,7.8279753,1.1099037
Croatia (cons),,1998,55.640526,14.44159
Croatia (cons),,1999,28.228775,7.6959281
Croatia (cons),,2000,33.379875,8.1810598
Croatia (cons),,2001,31.185226,7.6869097
Croatia (cons),,2004,47.801414,12.050819
