Entity,Code,Year,Oil (terawatt-hours)
Canada,CAN,1969,31.752216928599978
Canada,CAN,1970,53.25494253660008
Canada,CAN,1971,23.05013804559985
Canada,CAN,1972,46.48247615390005
Canada,CAN,1973,51.221845249600165
Canada,CAN,1974,16.500364996299822
Canada,CAN,1975,-20.70222887009993
Canada,CAN,1976,53.4385349959
Canada,CAN,1977,9.440184741400117
Canada,CAN,1978,20.77260828029989
Canada,CAN,1979,43.56652114389999
Canada,CAN,1980,-16.944710312900042
Canada,CAN,1981,-69.5890169083001
Canada,CAN,1982,-104.83260414719996
Canada,CAN,1983,-57.42079923259996
Canada,CAN,1984,9.4441661556001
Canada,CAN,1985,1.0967863394998858
Canada,CAN,1986,1.3635120159001417
Canada,CAN,1987,33.42399302669992
Canada,CAN,1988,46.433064935900006
Canada,CAN,1989,35.44066061269996
Canada,CAN,1990,-14.004313578599863
Canada,CAN,1991,-53.61720726740009
Canada,CAN,1992,17.963661365500116
Canada,CAN,1993,3.514414224899838
Canada,CAN,1994,16.170777425400047
Canada,CAN,1995,36.66042873610013
Canada,CAN,1996,27.34388950269988
Canada,CAN,1997,39.17907131250013
Canada,CAN,1998,21.570738313199854
Canada,CAN,1999,20.87931190209997
Canada,CAN,2000,-0.06927851439991173
Canada,CAN,2001,15.91099230040004
Canada,CAN,2002,30.977145929299922
Canada,CAN,2003,39.49486314480009
Canada,CAN,2004,42.50987481899983
Canada,CAN,2005,-10.715199318999794
Canada,CAN,2006,-7.199838761000137
Canada,CAN,2007,37.415231204000065
Canada,CAN,2008,-12.00009800099997
Canada,CAN,2009,-68.73355155690001
Canada,CAN,2010,84.96517853789987
Canada,CAN,2011,38.36975415000006
Canada,CAN,2012,-33.67267975899995
Canada,CAN,2013,3.881254313999989
Canada,CAN,2014,21.408199293999814
Canada,CAN,2015,-31.171390072999884
Canada,CAN,2016,20.18888683399996
Canada,CAN,2017,1.1003666350000003
Canada,CAN,2018,13.694538992000162
Chile,CHL,1966,3.941930675640002
Chile,CHL,1967,2.0022000637100064
Chile,CHL,1968,2.5550330789999975
Chile,CHL,1969,3.2488211593100047
Chile,CHL,1970,2.9678446391499875
Chile,CHL,1971,6.067354415620009
Chile,CHL,1972,3.701785003709986
Chile,CHL,1973,-3.1864536095899894
Chile,CHL,1974,-2.687722505309999
Chile,CHL,1975,-7.732728884890001
Chile,CHL,1976,3.156706942200003
Chile,CHL,1977,1.3620147231799962
Chile,CHL,1978,5.3539833342600005
Chile,CHL,1979,0.5784994367400103
Chile,CHL,1980,0.7611555647399939
Chile,CHL,1981,2.0955241613499993
Chile,CHL,1982,-7.4185244429199955
Chile,CHL,1983,-1.6744466717400073
Chile,CHL,1984,0.027882506320004552
Chile,CHL,1985,-1.5326899973400074
Chile,CHL,1986,3.85533277687
Chile,CHL,1987,2.6354247213100024
Chile,CHL,1988,6.275968610579994
Chile,CHL,1989,7.209141109540013
Chile,CHL,1990,4.185164170719986
Chile,CHL,1991,9.127408498320023
Chile,CHL,1992,7.366670936549994
Chile,CHL,1993,8.636902118409992
