Entity,Code,Year,Wind (deaths per million),Rip Current (deaths per million),Winter (deaths per million),Cold (deaths per million),Heat (deaths per million),Hurricane (deaths per million),Tornado (deaths per million),Flood (deaths per million),Lightning (deaths per million)
United States,USA,1927,,,,,,,,,3.29
United States,USA,1928,,,,,,,,,3.77
United States,USA,1929,,,,,,,,,3.32
United States,USA,1930,,,,,,,,,3.06
United States,USA,1931,,,,,,,,,3.73
United States,USA,1932,,,,,,,,,2.99
United States,USA,1933,,,,,,,,,3.11
United States,USA,1934,,,,,,,,,3.68
United States,USA,1935,,,,,,,,,2.85
United States,USA,1936,,,,,,,,,3.19
United States,USA,1937,,,,,,,,,3.57
United States,USA,1938,,,,,,,,,3.05
United States,USA,1939,,,,,,,,,2.98
