Entity,Code,Year,"Average weekly hours worked (women, 15+) (OECD Labor Force Statistics (2017)) (Hours)"
Romania,ROU,2004,39.87071354
Romania,ROU,2005,39.9293003
Romania,ROU,2006,39.83013867
Romania,ROU,2007,39.64114396
Romania,ROU,2008,39.68951527
Romania,ROU,2009,39.61492151
Romania,ROU,2010,39.50387056
Romania,ROU,2011,39.55472137
Romania,ROU,2012,39.43060997
Romania,ROU,2013,39.29470948
Romania,ROU,2014,39.3227005
Romania,ROU,2015,39.17001725
Romania,ROU,2016,39.31229883
Slovak Republic,,1994,40.89907069
Slovak Republic,,1995,41.20721091
Slovak Republic,,1996,41.18631502
Slovak Republic,,1997,41.48365395
Slovak Republic,,1998,41.38710543
Slovak Republic,,1999,41.55302694
Slovak Republic,,2000,41.48708823
Slovak Republic,,2001,41.26926768
Slovak Republic,,2002,40.7482933
Slovak Republic,,2003,39.46649426
Slovak Republic,,2004,39.3553096
Slovak Republic,,2005,39.57834723
Slovak Republic,,2006,39.659976
Slovak Republic,,2007,39.53775073
Slovak Republic,,2008,39.55728458
Slovak Republic,,2009,39.55937318
Slovak Republic,,2010,39.41130281
Slovak Republic,,2011,39.25935618
Slovak Republic,,2012,39.51127336
Slovak Republic,,2013,39.39567531
Slovak Republic,,2014,39.18305791
Slovak Republic,,2015,38.864872
Slovak Republic,,2016,38.76814142
Slovenia,SVN,2000,40.63745977
Slovenia,SVN,2001,40.76419478
Slovenia,SVN,2002,40.33879623
Slovenia,SVN,2003,39.98110882
Slovenia,SVN,2004,39.47857309
Slovenia,SVN,2005,39.38401509
Slovenia,SVN,2006,39.09775044
Slovenia,SVN,2007,39.16967963
Slovenia,SVN,2008,39.16670622
Slovenia,SVN,2009,38.58897888
Slovenia,SVN,2010,38.09044038
Slovenia,SVN,2011,38.30075599
Slovenia,SVN,2012,38.5468835
Slovenia,SVN,2013,38.33738472
Slovenia,SVN,2014,38.08588047
Slovenia,SVN,2015,38.03685683
Slovenia,SVN,2016,38.14419844
South Africa,ZAF,2008,42.89492337
South Africa,ZAF,2009,42.30381187
South Africa,ZAF,2010,42.14063964
South Africa,ZAF,2011,42.30014158
South Africa,ZAF,2012,41.80459351
South Africa,ZAF,2013,41.56220416
South Africa,ZAF,2014,41.47272782
South Africa,ZAF,2015,41.13575636
South Africa,ZAF,2016,40.91025689
Spain,ESP,1987,39.02930673
Spain,ESP,1988,38.57004766
Spain,ESP,1989,38.52410146
Spain,ESP,1990,38.37105447
Spain,ESP,1991,38.55890532
Spain,ESP,1992,38.04903605
Spain,ESP,1993,37.79251739
Spain,ESP,1994,37.56954827
Spain,ESP,1995,37.25750881
Spain,ESP,1996,37.03164685
Spain,ESP,1997,36.88975538
Spain,ESP,1998,36.90577017
Spain,ESP,1999,36.72621668
Spain,ESP,2000,36.87839744
Spain,ESP,2001,36.78153981
Spain,ESP,2002,36.83961734
Spain,ESP,2003,36.62217682
Spain,ESP,2004,36.52686231
Spain,ESP,2005,35.65250427
Spain,ESP,2006,35.69196212
Spain,ESP,2007,35.71823045
Spain,ESP,2008,35.61448792
Spain,ESP,2009,35.47418623
Spain,ESP,2010,35.3677578
Spain,ESP,2011,35.27334747
Spain,ESP,2012,34.94995718
Spain,ESP,2013,34.76006721
Spain,ESP,2014,34.59617152
Spain,ESP,2015,34.61561523
Spain,ESP,2016,34.7382492
Sweden,SWE,2002,34.33159467
Sweden,SWE,2003,34.295118
Sweden,SWE,2004,34.18877692
Sweden,SWE,2005,34.20428861
Sweden,SWE,2006,34.17567502
Sweden,SWE,2007,33.96287034
Sweden,SWE,2008,33.92630097
Sweden,SWE,2009,33.93763615
Sweden,SWE,2010,34.03468752
Sweden,SWE,2011,34.13389194
Sweden,SWE,2012,34.26000199
Sweden,SWE,2013,34.31694221
Sweden,SWE,2014,34.39589422
Sweden,SWE,2015,34.47413219
Sweden,SWE,2016,34.51195555
Switzerland,CHE,1991,29.54234418
Switzerland,CHE,1992,28.87137032
Switzerland,CHE,1993,28.46041295
Switzerland,CHE,1994,28.62653703
Switzerland,CHE,1995,28.88530155
Switzerland,CHE,1996,28.81294689
Switzerland,CHE,1997,28.93599921
Switzerland,CHE,1998,28.91824367
Switzerland,CHE,1999,28.672922
Switzerland,CHE,2000,29.13419383
Switzerland,CHE,2001,29.05290159
Switzerland,CHE,2002,29.0898375
Switzerland,CHE,2003,28.76572385
Switzerland,CHE,2004,28.95897173
Switzerland,CHE,2005,29.05033849
Switzerland,CHE,2006,28.98644865
Switzerland,CHE,2007,29.04976338
Switzerland,CHE,2008,28.94327948
Switzerland,CHE,2009,28.69860704
Switzerland,CHE,2010,28.9238267
Switzerland,CHE,2011,29.14740336
Switzerland,CHE,2012,29.10965499
Switzerland,CHE,2013,29.07530141
Switzerland,CHE,2014,28.97631382
Switzerland,CHE,2015,29.16151382
Switzerland,CHE,2016,29.18402867
Turkey,TUR,2006,44.81350714
Turkey,TUR,2007,43.48452045
Turkey,TUR,2008,43.15254819
Turkey,TUR,2009,41.62049792
Turkey,TUR,2010,41.84827897
Turkey,TUR,2011,41.40811784
Turkey,TUR,2012,41.38643636
Turkey,TUR,2013,40.92267355
Turkey,TUR,2014,41.42598063
Turkey,TUR,2015,41.72222696
Turkey,TUR,2016,41.49403174
United Kingdom,GBR,1983,30.16480774
United Kingdom,GBR,1984,29.84463491
United Kingdom,GBR,1985,30.08179523
United Kingdom,GBR,1986,30.15892051
United Kingdom,GBR,1987,30.11159676
United Kingdom,GBR,1988,30.55832622
United Kingdom,GBR,1989,30.6253244
United Kingdom,GBR,1990,30.83508128
United Kingdom,GBR,1991,30.64930718
United Kingdom,GBR,1992,30.55129049
United Kingdom,GBR,1993,30.48577032
United Kingdom,GBR,1994,30.59849889
United Kingdom,GBR,1995,30.74623033
United Kingdom,GBR,1996,30.63215592
United Kingdom,GBR,1997,30.86344873
United Kingdom,GBR,1998,30.81311836
United Kingdom,GBR,1999,30.93047498
United Kingdom,GBR,2000,30.92024559
United Kingdom,GBR,2001,31.27842732
United Kingdom,GBR,2002,31.21690998
United Kingdom,GBR,2003,31.0662082
United Kingdom,GBR,2004,31.07581873
United Kingdom,GBR,2005,31.36015501
United Kingdom,GBR,2006,31.32128217
United Kingdom,GBR,2007,31.42663523
United Kingdom,GBR,2008,31.54929964
United Kingdom,GBR,2009,31.32926925
United Kingdom,GBR,2010,31.21265763
United Kingdom,GBR,2011,31.15347454
United Kingdom,GBR,2012,31.23455297
United Kingdom,GBR,2013,31.4539447
United Kingdom,GBR,2014,31.68225921
United Kingdom,GBR,2015,31.80741911
United Kingdom,GBR,2016,31.88076962
