Entity,Code,Year,Fossil fuels (%)
Saudi Arabia,SAU,1999,1.8265534137207329
Saudi Arabia,SAU,2000,4.660971997634378
Saudi Arabia,SAU,2001,6.551240991530127
Saudi Arabia,SAU,2002,4.1515775762370755
Saudi Arabia,SAU,2003,5.92735665621098
Saudi Arabia,SAU,2004,8.491924513620908
Saudi Arabia,SAU,2005,6.580847077757168
Saudi Arabia,SAU,2006,3.82180404640704
Saudi Arabia,SAU,2007,4.3500750004647815
Saudi Arabia,SAU,2008,9.047780034210318
Saudi Arabia,SAU,2009,5.396789921683176
Saudi Arabia,SAU,2010,9.623056525260697
Saudi Arabia,SAU,2011,3.227943391459065
Saudi Arabia,SAU,2012,6.0125244817524015
Saudi Arabia,SAU,2013,0.4111270732435557
Saudi Arabia,SAU,2014,7.189429292219929
Saudi Arabia,SAU,2015,3.2277666843047337
Saudi Arabia,SAU,2016,1.2379144997692437
Saudi Arabia,SAU,2017,0.25563607634278007
Saudi Arabia,SAU,2018,-1.3917866150556901
Singapore,SGP,1966,14.316149711799442
Singapore,SGP,1967,20.116083568561073
Singapore,SGP,1968,24.299707231686064
Singapore,SGP,1969,-1.7324641654018924
Singapore,SGP,1970,8.57443167807055
Singapore,SGP,1971,-13.195858711013797
Singapore,SGP,1972,25.218292205695782
Singapore,SGP,1973,-5.761265669924431
Singapore,SGP,1974,-1.4196242865552433
Singapore,SGP,1975,-2.3536118298467468
Singapore,SGP,1976,18.614574635165603
Singapore,SGP,1977,0.3752723541098568
Singapore,SGP,1978,2.9294460851742032
Singapore,SGP,1979,6.604759279975214
Singapore,SGP,1980,-0.6784820736823849
Singapore,SGP,1981,15.047481561999486
Singapore,SGP,1982,-2.7003427811803093
Singapore,SGP,1983,5.939393402237103
Singapore,SGP,1984,5.132551647776862
Singapore,SGP,1985,2.006514751413757
Singapore,SGP,1986,15.921124081243466
Singapore,SGP,1987,5.155891176402294
Singapore,SGP,1988,15.721588910090013
Singapore,SGP,1989,14.042862135013422
Singapore,SGP,1990,19.523714206678978
Singapore,SGP,1991,1.7228886476150063
Singapore,SGP,1992,7.304547047202026
Singapore,SGP,1993,9.27601530333737
Singapore,SGP,1994,14.402977512390525
Singapore,SGP,1995,4.262380645453545
Singapore,SGP,1996,0.9139801849919804
Singapore,SGP,1997,5.191247989068826
Singapore,SGP,1998,1.3882133313042555
Singapore,SGP,1999,-0.9985161593498049
Singapore,SGP,2000,6.938988822691039
Singapore,SGP,2001,13.419966541915397
Singapore,SGP,2002,-1.763120557748854
Singapore,SGP,2003,-5.541819062640552
Singapore,SGP,2004,11.975397204953154
Singapore,SGP,2005,5.076935026801976
Singapore,SGP,2006,10.061623949809606
Singapore,SGP,2007,7.3777549995817315
Singapore,SGP,2008,6.389110157892919
Singapore,SGP,2009,7.559037498578647
Singapore,SGP,2010,7.4639970137386324
Singapore,SGP,2011,3.973326560410362
Singapore,SGP,2012,0.41537947285079646
Singapore,SGP,2013,2.7637052918377814
Singapore,SGP,2014,2.9799761430225447
Singapore,SGP,2015,6.31582238295838
Singapore,SGP,2016,3.9918174997757516
Singapore,SGP,2017,3.156985546207114
Singapore,SGP,2018,1.2193159997842873
Slovakia,SVK,1966,4.0112582878055525
Slovakia,SVK,1967,1.4209773460211572
Slovakia,SVK,1968,11.313235325397297
Slovakia,SVK,1969,5.5456418820794
Slovakia,SVK,1970,9.380987763148418
Slovakia,SVK,1971,8.562056792459337
Slovakia,SVK,1972,5.171247651934618
Slovakia,SVK,1973,4.164466533947153
Slovakia,SVK,1974,3.301525251064419
Slovakia,SVK,1975,5.778598275771185
Slovakia,SVK,1976,3.4412340281816833
Slovakia,SVK,1977,5.189729825076395
Slovakia,SVK,1978,5.4740849727699326
Slovakia,SVK,1979,0.5481950107304678
Slovakia,SVK,1980,-2.102222664170683
Slovakia,SVK,1981,-1.2924289124727317
Slovakia,SVK,1982,-1.8384456649779946
Slovakia,SVK,1983,-0.2956211742888737
Slovakia,SVK,1984,7.463218769538171
Slovakia,SVK,1985,-0.17995684631223474
Slovakia,SVK,1986,-3.5734969530825333
Slovakia,SVK,1987,2.597742400497749
Slovakia,SVK,1988,0.9033852967836431
Slovakia,SVK,1989,0.4624590559476838
Slovakia,SVK,1990,0.6092968156288459
Slovakia,SVK,1991,-11.399893802326577
Slovakia,SVK,1992,-4.434366768830422
Slovakia,SVK,1993,-5.393125898245621
Slovakia,SVK,1994,-5.3283832617697975
Slovakia,SVK,1995,2.93214413831695
Slovakia,SVK,1996,2.4053480883699407
Slovakia,SVK,1997,-1.7385621933213136
Slovakia,SVK,1998,0.42006221287562706
Slovakia,SVK,1999,-2.2656811551412193
Slovakia,SVK,2000,-1.8933652218700359
Slovakia,SVK,2001,2.3048007312533203
Slovakia,SVK,2002,-0.7122225536832727
Slovakia,SVK,2003,-0.3295406708139992
Slovakia,SVK,2004,-3.0222507783318697
Slovakia,SVK,2005,5.486890768582464
Slovakia,SVK,2006,-5.259149198400859
Slovakia,SVK,2007,-3.9355235701496794
Slovakia,SVK,2008,2.8959543411158917
Slovakia,SVK,2009,-8.066677563495029
Slovakia,SVK,2010,6.573858812605127
Slovakia,SVK,2011,-5.067941527744402
Slovakia,SVK,2012,-6.302500897709217
