Entity,Code,Year,"Health expenditure, public (% of total health expenditure) (% of total health expenditure)"
Chile,CHL,1998,48.11085194
Chile,CHL,1999,49.86333177
Chile,CHL,2000,52.09976815
Chile,CHL,2001,53.53677326
Chile,CHL,2002,54.50947613
Chile,CHL,2003,36.61789499
Chile,CHL,2004,38.0468581
Chile,CHL,2005,37.90490413
Chile,CHL,2006,40.73105072
Chile,CHL,2007,41.85269638
Chile,CHL,2008,42.8427086
Chile,CHL,2009,46.91361333
Chile,CHL,2010,47.28242148
Chile,CHL,2011,47.57800817
Chile,CHL,2012,48.02694742
Chile,CHL,2013,48.23634709
Chile,CHL,2014,49.4654486
China,CHN,1995,50.50032029
China,CHN,1996,46.59047117
China,CHN,1997,44.24433671
China,CHN,1998,41.81212234
China,CHN,1999,40.88670169
China,CHN,2000,38.28318409
China,CHN,2001,35.57145866
China,CHN,2002,35.83377409
China,CHN,2003,36.22579582
China,CHN,2004,37.97351616
China,CHN,2005,38.76638298
China,CHN,2006,40.65388374
China,CHN,2007,46.92996439
China,CHN,2008,49.94764686
China,CHN,2009,52.49844515
China,CHN,2010,54.31100194
China,CHN,2011,55.89040807
China,CHN,2012,55.95602829
China,CHN,2013,55.80702865
China,CHN,2014,55.78672081
Colombia,COL,1995,55.06367274
Colombia,COL,1996,62.09801487
Colombia,COL,1997,62.46316252
Colombia,COL,1998,69.94186082
Colombia,COL,1999,74.48493748
Colombia,COL,2000,79.29838945
Colombia,COL,2001,78.70001533
Colombia,COL,2002,80.25656245
Colombia,COL,2003,82.72043609
Colombia,COL,2004,76.02004809
Colombia,COL,2005,74.21145699
Colombia,COL,2006,74.20257568
Colombia,COL,2007,72.59332368
Colombia,COL,2008,70.96756339
Colombia,COL,2009,73.41664102
Colombia,COL,2010,73.63129662
Colombia,COL,2011,75.59258865
Colombia,COL,2012,76.11646253
Colombia,COL,2013,76.26429691
Colombia,COL,2014,75.12455034
Comoros,COM,1995,62.42289008
Comoros,COM,1996,60.57584776
Comoros,COM,1997,57.53763255
Comoros,COM,1998,54.02871685
Comoros,COM,1999,50.78519634
Comoros,COM,2000,42.82604996
Comoros,COM,2001,38.28313139
Comoros,COM,2002,49.28563384
Comoros,COM,2003,49.74099213
Comoros,COM,2004,50.78049434
Comoros,COM,2005,52.68284496
Comoros,COM,2006,54.8447744
Comoros,COM,2007,56.85058194
Comoros,COM,2008,60.31541469
Comoros,COM,2009,45.10579424
Comoros,COM,2010,24.96923533
Comoros,COM,2011,27.17312963
Comoros,COM,2012,37.23815796
Comoros,COM,2013,30.77393156
Comoros,COM,2014,32.86066417
Congo,COG,1995,59.30782016
Congo,COG,1996,60.13491853
Congo,COG,1997,61.69838937
Congo,COG,1998,59.34130667
Congo,COG,1999,57.18641831
Congo,COG,2000,57.53240149
Congo,COG,2001,54.77619196
Congo,COG,2002,52.51050826
Congo,COG,2003,49.80560986
Congo,COG,2004,53.60142871
Congo,COG,2005,59.23928051
Congo,COG,2006,62.96740164
Congo,COG,2007,60.91192503
Congo,COG,2008,59.40089535
Congo,COG,2009,50.36851131
Congo,COG,2010,60.47407851
Congo,COG,2011,70.86981205
Congo,COG,2012,79.20389746
Congo,COG,2013,79.63880231
Congo,COG,2014,81.76246387
Costa Rica,CRI,1995,76.50066331
Costa Rica,CRI,1996,76.16402771
Costa Rica,CRI,1997,76.19803763
Costa Rica,CRI,1998,79.0392327
Costa Rica,CRI,1999,78.50988997
Costa Rica,CRI,2000,78.78071218
Costa Rica,CRI,2001,75.69473425
Costa Rica,CRI,2002,76.38874447
Costa Rica,CRI,2003,76.34150903
Costa Rica,CRI,2004,72.49264564
Costa Rica,CRI,2005,70.61882578
Costa Rica,CRI,2006,68.9912532
Costa Rica,CRI,2007,67.2393298
Costa Rica,CRI,2008,69.5303033
Costa Rica,CRI,2009,72.4939408
Costa Rica,CRI,2010,73.44175417
Costa Rica,CRI,2011,73.48566351
Costa Rica,CRI,2012,73.22655154
Costa Rica,CRI,2013,73.04096682
Costa Rica,CRI,2014,72.66745326
Cote d'Ivoire,CIV,1995,25.84184694
Cote d'Ivoire,CIV,1996,27.50664163
Cote d'Ivoire,CIV,1997,28.35031817
Cote d'Ivoire,CIV,1998,25.88052187
Cote d'Ivoire,CIV,1999,27.59516003
Cote d'Ivoire,CIV,2000,29.79475594
Cote d'Ivoire,CIV,2001,26.62253975
Cote d'Ivoire,CIV,2002,31.5351181
Cote d'Ivoire,CIV,2003,28.76845826
Cote d'Ivoire,CIV,2004,28.09931784
Cote d'Ivoire,CIV,2005,23.55866439
Cote d'Ivoire,CIV,2006,23.13753273
Cote d'Ivoire,CIV,2007,22.50613187
Cote d'Ivoire,CIV,2008,24.63340351
Cote d'Ivoire,CIV,2009,26.45673871
Cote d'Ivoire,CIV,2010,26.50560412
Cote d'Ivoire,CIV,2011,25.47606086
Cote d'Ivoire,CIV,2012,30.68495895
Cote d'Ivoire,CIV,2013,30.92476799
Cote d'Ivoire,CIV,2014,29.36420852
Croatia,HRV,1995,86.45754164
Croatia,HRV,1996,87.57810721
Croatia,HRV,1997,84.47738019
Croatia,HRV,1998,87.03762318
Croatia,HRV,1999,87.34089298
Croatia,HRV,2000,86.13874997
Croatia,HRV,2001,83.27703371
Croatia,HRV,2002,80.04710455
Croatia,HRV,2003,82.60753014
Croatia,HRV,2004,81.05995322
Croatia,HRV,2005,86.02453482
Croatia,HRV,2006,86.07130295
Croatia,HRV,2007,87.02566184
Croatia,HRV,2008,84.86865423
Croatia,HRV,2009,85.68976709
Croatia,HRV,2010,85.65822042
Croatia,HRV,2011,80.20690605
Croatia,HRV,2012,81.60860494
Croatia,HRV,2013,81.79361665
Croatia,HRV,2014,81.86709815
Cuba,CUB,1995,90.22801303
Cuba,CUB,1996,90.49429658
Cuba,CUB,1997,90.68100358
Cuba,CUB,1998,90.57239057
Cuba,CUB,1999,91.19201409
Cuba,CUB,2000,90.83063646
Cuba,CUB,2001,90.43591441
Cuba,CUB,2002,88.13823449
Cuba,CUB,2003,89.45348683
Cuba,CUB,2004,89.0926538
Cuba,CUB,2005,93.08304835
Cuba,CUB,2006,92.30959354
Cuba,CUB,2007,94.85121923
Cuba,CUB,2008,95.36797196
Cuba,CUB,2009,95.77516783
Cuba,CUB,2010,95.18893531
Cuba,CUB,2011,95.03715381
Cuba,CUB,2012,94.15130324
Cuba,CUB,2013,94.51874006
Cuba,CUB,2014,95.6131052
Cyprus,CYP,1995,35.83647542
Cyprus,CYP,1996,34.0951734
Cyprus,CYP,1997,35.22928543
Cyprus,CYP,1998,41.87599024
Cyprus,CYP,1999,42.66439506
Cyprus,CYP,2000,41.65226698
Cyprus,CYP,2001,42.35541962
Cyprus,CYP,2002,44.98191514
Cyprus,CYP,2003,45.13056
Cyprus,CYP,2004,43.83699025
Cyprus,CYP,2005,41.80626417
Cyprus,CYP,2006,42.43036265
Cyprus,CYP,2007,42.59439014
Cyprus,CYP,2008,41.3632339
Cyprus,CYP,2009,44.73631897
Cyprus,CYP,2010,47.35034277
Cyprus,CYP,2011,46.53690255
Cyprus,CYP,2012,45.86180685
Cyprus,CYP,2013,46.53366977
Cyprus,CYP,2014,45.22522893
Czech Republic,CZE,1995,90.88823736
Czech Republic,CZE,1996,90.66788266
Czech Republic,CZE,1997,90.28552484
Czech Republic,CZE,1998,90.43042634
Czech Republic,CZE,1999,90.48153034
Czech Republic,CZE,2000,90.31912418
Czech Republic,CZE,2001,89.76540234
Czech Republic,CZE,2002,90.47356293
Czech Republic,CZE,2003,89.80143687
Czech Republic,CZE,2004,89.15079267
Czech Republic,CZE,2005,87.31026702
Czech Republic,CZE,2006,86.72940506
Czech Republic,CZE,2007,85.19376655
Czech Republic,CZE,2008,82.54686115
Czech Republic,CZE,2009,83.73898194
Czech Republic,CZE,2010,83.75970601
Czech Republic,CZE,2011,84.18452855
Czech Republic,CZE,2012,84.01979692
Czech Republic,CZE,2013,84.32634689
Czech Republic,CZE,2014,84.53719019
Democratic Republic of Congo,COD,1995,4.65966806
Democratic Republic of Congo,COD,1996,3.72533352
Democratic Republic of Congo,COD,1997,5.66144956
Democratic Republic of Congo,COD,1998,4.17903458
Democratic Republic of Congo,COD,1999,6.51093638
Democratic Republic of Congo,COD,2000,3.09101526
Democratic Republic of Congo,COD,2001,5.40635323
Democratic Republic of Congo,COD,2002,6.18748604
Democratic Republic of Congo,COD,2003,21.85011816
Democratic Republic of Congo,COD,2004,21.50789436
Democratic Republic of Congo,COD,2005,23.92858483
Democratic Republic of Congo,COD,2006,27.7341926
Democratic Republic of Congo,COD,2007,33.49548693
Democratic Republic of Congo,COD,2008,47.10576691
Democratic Republic of Congo,COD,2009,42.09692092
Democratic Republic of Congo,COD,2010,26.28248989
Democratic Republic of Congo,COD,2011,35.5111102
Democratic Republic of Congo,COD,2012,44.80888157
Democratic Republic of Congo,COD,2013,34.04986549
Democratic Republic of Congo,COD,2014,36.92860908
Denmark,DNK,1995,82.52435388
Denmark,DNK,1996,82.41536762
Denmark,DNK,1997,82.27683924
Denmark,DNK,1998,82.0812172
Denmark,DNK,1999,83.95490106
Denmark,DNK,2000,83.86148201
Denmark,DNK,2001,84.18008441
Denmark,DNK,2002,84.48671516
Denmark,DNK,2003,84.54694926
Denmark,DNK,2004,84.26799952
Denmark,DNK,2005,84.47582648
Denmark,DNK,2006,84.63604869
Denmark,DNK,2007,84.39735162
Denmark,DNK,2008,84.66256638
Denmark,DNK,2009,85.04146857
Denmark,DNK,2010,85.12863632
Denmark,DNK,2011,85.30499179
Denmark,DNK,2012,85.75942654
Denmark,DNK,2013,85.29566921
Denmark,DNK,2014,84.76418872
Djibouti,DJI,1995,60.34446227
Djibouti,DJI,1996,58.36555754
Djibouti,DJI,1997,61.6099831
Djibouti,DJI,1998,66.18144304
Djibouti,DJI,1999,70.87388571
Djibouti,DJI,2000,67.79080293
Djibouti,DJI,2001,64.89255537
Djibouti,DJI,2002,64.53936965
Djibouti,DJI,2003,66.99307565
Djibouti,DJI,2004,68.02313835
Djibouti,DJI,2005,68.46313531
Djibouti,DJI,2006,66.69390225
Djibouti,DJI,2007,69.13251931
Djibouti,DJI,2008,71.37804848
Djibouti,DJI,2009,71.16343485
Djibouti,DJI,2010,58.24757766
Djibouti,DJI,2011,57.62320576
Djibouti,DJI,2012,58.77743011
Djibouti,DJI,2013,58.23324727
Djibouti,DJI,2014,63.87853881
Dominica,DMA,1995,71.09573149
Dominica,DMA,1996,71.8545713
Dominica,DMA,1997,72.94918947
Dominica,DMA,1998,72.40157697
Dominica,DMA,1999,71.83240672
Dominica,DMA,2000,70.74045191
Dominica,DMA,2001,70.16896169
Dominica,DMA,2002,69.84204924
Dominica,DMA,2003,69.16954351
Dominica,DMA,2004,68.87255435
Dominica,DMA,2005,65.77724386
Dominica,DMA,2006,68.15879315
Dominica,DMA,2007,65.93924625
Dominica,DMA,2008,65.35774056
Dominica,DMA,2009,69.45069983
Dominica,DMA,2010,70.75780163
Dominica,DMA,2011,70.5539942
Dominica,DMA,2012,68.52083046
Dominica,DMA,2013,68.31881857
Dominica,DMA,2014,68.68552414
Dominican Republic,DOM,1995,22.17164022
Dominican Republic,DOM,1996,24.69339871
Dominican Republic,DOM,1997,28.24452878
Dominican Republic,DOM,1998,33.06571523
Dominican Republic,DOM,1999,35.34410659
Dominican Republic,DOM,2000,37.14728005
Dominican Republic,DOM,2001,34.42711887
Dominican Republic,DOM,2002,34.7014597
Dominican Republic,DOM,2003,32.90326205
Dominican Republic,DOM,2004,32.43879784
Dominican Republic,DOM,2005,34.86902006
Dominican Republic,DOM,2006,41.0096943
Dominican Republic,DOM,2007,45.87291764
Dominican Republic,DOM,2008,48.88266311
Dominican Republic,DOM,2009,50.90989021
Dominican Republic,DOM,2010,55.7287814
Dominican Republic,DOM,2011,61.730906
Dominican Republic,DOM,2012,63.36142531
Dominican Republic,DOM,2013,63.6914133
Dominican Republic,DOM,2014,66.89955347
Early-demographic dividend,,1995,46.9084574049889
Early-demographic dividend,,1996,47.4366095043508
Early-demographic dividend,,1997,47.1007596735027
Early-demographic dividend,,1998,47.3773359330017
Early-demographic dividend,,1999,47.4395149079712
Early-demographic dividend,,2000,47.4462553940684
Early-demographic dividend,,2001,46.9455922505953
Early-demographic dividend,,2002,46.2259737587772
Early-demographic dividend,,2003,45.7227910644714
Early-demographic dividend,,2004,46.1799071669523
Early-demographic dividend,,2005,45.9092324123761
Early-demographic dividend,,2006,46.9284355245871
Early-demographic dividend,,2007,47.1287865229163
Early-demographic dividend,,2008,47.6857685997242
Early-demographic dividend,,2009,49.394582734208
Early-demographic dividend,,2010,48.0749885222102
Early-demographic dividend,,2011,48.6510537858184
Early-demographic dividend,,2012,48.8786265162605
Early-demographic dividend,,2013,49.6364332356614
Early-demographic dividend,,2014,49.3008872392439
East Asia & Pacific,,1995,75.7780473977102
East Asia & Pacific,,1996,73.9089240177372
East Asia & Pacific,,1997,72.8630014937412
East Asia & Pacific,,1998,72.4434439395163
East Asia & Pacific,,1999,72.5596223223775
East Asia & Pacific,,2000,72.2748628309241
East Asia & Pacific,,2001,71.4850598825649
East Asia & Pacific,,2002,70.2076400865705
East Asia & Pacific,,2003,69.2281852251486
East Asia & Pacific,,2004,69.352499726687
East Asia & Pacific,,2005,68.5548781545494
East Asia & Pacific,,2006,67.070126324278
East Asia & Pacific,,2007,67.7380873230794
East Asia & Pacific,,2008,67.9055646314694
East Asia & Pacific,,2009,68.8352906663029
East Asia & Pacific,,2010,69.1929783594156
East Asia & Pacific,,2011,69.3668088724209
East Asia & Pacific,,2012,68.5649874590348
East Asia & Pacific,,2013,66.864127576022
East Asia & Pacific,,2014,65.9986599652191
East Asia & Pacific (IDA & IBRD),,1995,48.0792974077603
East Asia & Pacific (IDA & IBRD),,1996,45.9356985161352
East Asia & Pacific (IDA & IBRD),,1997,44.9992593201704
East Asia & Pacific (IDA & IBRD),,1998,43.0402141859006
East Asia & Pacific (IDA & IBRD),,1999,42.2111005102384
East Asia & Pacific (IDA & IBRD),,2000,40.2684881217336
East Asia & Pacific (IDA & IBRD),,2001,38.2898684370498
East Asia & Pacific (IDA & IBRD),,2002,38.5275906356325
East Asia & Pacific (IDA & IBRD),,2003,39.0773154483984
East Asia & Pacific (IDA & IBRD),,2004,40.1700917881905
East Asia & Pacific (IDA & IBRD),,2005,39.6374334861746
East Asia & Pacific (IDA & IBRD),,2006,41.9025126682317
East Asia & Pacific (IDA & IBRD),,2007,47.3208813930884
East Asia & Pacific (IDA & IBRD),,2008,49.6522739065313
East Asia & Pacific (IDA & IBRD),,2009,51.8856906437182
East Asia & Pacific (IDA & IBRD),,2010,53.4251842237998
East Asia & Pacific (IDA & IBRD),,2011,54.7581016940841
East Asia & Pacific (IDA & IBRD),,2012,55.1168742952
East Asia & Pacific (IDA & IBRD),,2013,55.0253141826428
East Asia & Pacific (IDA & IBRD),,2014,55.1085871890151
East Asia & Pacific (excluding high income),,1995,48.0717881971563
East Asia & Pacific (excluding high income),,1996,45.9275845349673
East Asia & Pacific (excluding high income),,1997,44.9916118006645
East Asia & Pacific (excluding high income),,1998,43.0338816889762
East Asia & Pacific (excluding high income),,1999,42.20546161348
East Asia & Pacific (excluding high income),,2000,40.262729028234
East Asia & Pacific (excluding high income),,2001,38.2835172963597
East Asia & Pacific (excluding high income),,2002,38.522365082872
East Asia & Pacific (excluding high income),,2003,39.0725192902602
East Asia & Pacific (excluding high income),,2004,40.1651336377842
East Asia & Pacific (excluding high income),,2005,39.6333519198607
East Asia & Pacific (excluding high income),,2006,41.8989373006513
East Asia & Pacific (excluding high income),,2007,47.3183659881684
East Asia & Pacific (excluding high income),,2008,49.6505867594984
East Asia & Pacific (excluding high income),,2009,51.8846132876656
East Asia & Pacific (excluding high income),,2010,53.424104417779
East Asia & Pacific (excluding high income),,2011,54.7573950585942
East Asia & Pacific (excluding high income),,2012,55.1161767067015
East Asia & Pacific (excluding high income),,2013,55.0246933860815
East Asia & Pacific (excluding high income),,2014,55.1079509721008
Ecuador,ECU,1995,55.36115735
Ecuador,ECU,1996,58.91992794
Ecuador,ECU,1997,53.46906356
Ecuador,ECU,1998,39.14488954
Ecuador,ECU,1999,36.10152876
Ecuador,ECU,2000,26.51958796
Ecuador,ECU,2001,31.84237847
Ecuador,ECU,2002,30.9597689
Ecuador,ECU,2003,22.05685938
Ecuador,ECU,2004,22.98934566
Ecuador,ECU,2005,22.30352772
Ecuador,ECU,2006,24.30598621
Ecuador,ECU,2007,25.37067001
Ecuador,ECU,2008,28.80332957
Ecuador,ECU,2009,39.22134108
Ecuador,ECU,2010,41.66969945
Ecuador,ECU,2011,43.91052161
Ecuador,ECU,2012,45.6417394
Ecuador,ECU,2013,52.94968711
Ecuador,ECU,2014,49.20983681
Egypt,EGY,1995,46.54382499
Egypt,EGY,1996,41.58957039
Egypt,EGY,1997,38.73110748
Egypt,EGY,1998,39.98368552
Egypt,EGY,1999,40.38907401
Egypt,EGY,2000,40.48025743
Egypt,EGY,2001,40.4754362
Egypt,EGY,2002,40.26769874
Egypt,EGY,2003,38.22119955
Egypt,EGY,2004,38.110679
Egypt,EGY,2005,39.20987843
Egypt,EGY,2006,43.65853203
Egypt,EGY,2007,41.34376747
Egypt,EGY,2008,42.11171857
Egypt,EGY,2009,41.08940845
Egypt,EGY,2010,39.03464769
Egypt,EGY,2011,39.50269464
Egypt,EGY,2012,36.0667739
Egypt,EGY,2013,37.66517347
Egypt,EGY,2014,38.20171127
El Salvador,SLV,1995,38.51535878
El Salvador,SLV,1996,40.99048002
El Salvador,SLV,1997,39.04519492
El Salvador,SLV,1998,43.71973639
El Salvador,SLV,1999,44.73040084
El Salvador,SLV,2000,46.46434416
El Salvador,SLV,2001,46.80845287
El Salvador,SLV,2002,48.1771985
El Salvador,SLV,2003,49.30411185
El Salvador,SLV,2004,49.8163568
El Salvador,SLV,2005,53.02430409
El Salvador,SLV,2006,62.20567943
El Salvador,SLV,2007,59.29901031
El Salvador,SLV,2008,59.6581081
El Salvador,SLV,2009,60.51026743
El Salvador,SLV,2010,62.06343529
El Salvador,SLV,2011,63.57022718
El Salvador,SLV,2012,62.80110325
El Salvador,SLV,2013,66.69197963
El Salvador,SLV,2014,65.99590164
Equatorial Guinea,GNQ,1995,72.16608086
Equatorial Guinea,GNQ,1996,61.54249014
Equatorial Guinea,GNQ,1997,70.70040304
Equatorial Guinea,GNQ,1998,71.4353521
Equatorial Guinea,GNQ,1999,69.68828653
Equatorial Guinea,GNQ,2000,79.26695815
Equatorial Guinea,GNQ,2001,74.89975089
Equatorial Guinea,GNQ,2002,54.20318499
Equatorial Guinea,GNQ,2003,68.51043468
Equatorial Guinea,GNQ,2004,56.40761939
Equatorial Guinea,GNQ,2005,56.05088876
Equatorial Guinea,GNQ,2006,68.93211114
Equatorial Guinea,GNQ,2007,72.99012783
Equatorial Guinea,GNQ,2008,77.66660793
Equatorial Guinea,GNQ,2009,83.84595549
Equatorial Guinea,GNQ,2010,79.63054849
Equatorial Guinea,GNQ,2011,78.87260194
Equatorial Guinea,GNQ,2012,83.12954739
Equatorial Guinea,GNQ,2013,79.33313564
Equatorial Guinea,GNQ,2014,77.09383563
Eritrea,ERI,1995,48.01247789
Eritrea,ERI,1996,36.57453375
Eritrea,ERI,1997,42.17728513
Eritrea,ERI,1998,41.28768746
Eritrea,ERI,1999,39.88702146
Eritrea,ERI,2000,35.82089552
Eritrea,ERI,2001,35.11904762
Eritrea,ERI,2002,40.78144078
Eritrea,ERI,2003,36.87943262
Eritrea,ERI,2004,39.33402706
Eritrea,ERI,2005,36.9261477
Eritrea,ERI,2006,44.5730072
Eritrea,ERI,2007,45.27736132
Eritrea,ERI,2008,52.36402267
Eritrea,ERI,2009,42.33754978
Eritrea,ERI,2010,43.97294146
Eritrea,ERI,2011,45.99389636
Eritrea,ERI,2012,46.49813654
Eritrea,ERI,2013,45.75583753
Eritrea,ERI,2014,45.75583753
Estonia,EST,1995,89.7652589
Estonia,EST,1996,88.37398874
Estonia,EST,1997,89.16671277
Estonia,EST,1998,86.34950391
Estonia,EST,1999,77.46667389
Estonia,EST,2000,77.16422539
Estonia,EST,2001,78.6491197
Estonia,EST,2002,77.11935467
Estonia,EST,2003,76.7484632
Estonia,EST,2004,75.54814818
Estonia,EST,2005,76.70413572
Estonia,EST,2006,73.25367633
Estonia,EST,2007,75.58012476
Estonia,EST,2008,77.81302683
Estonia,EST,2009,75.25139105
Estonia,EST,2010,78.85291743
Estonia,EST,2011,79.31844457
Estonia,EST,2012,80.3823271
Estonia,EST,2013,79.2775684
Estonia,EST,2014,78.8237027
Ethiopia,ETH,1995,40.6239032
Ethiopia,ETH,1996,38.14649707
Ethiopia,ETH,1997,40.87393515
Ethiopia,ETH,1998,43.75561884
Ethiopia,ETH,1999,46.58250879
Ethiopia,ETH,2000,54.59527682
Ethiopia,ETH,2001,52.33488243
Ethiopia,ETH,2002,53.92333746
Ethiopia,ETH,2003,55.14919473
Ethiopia,ETH,2004,56.05350196
Ethiopia,ETH,2005,61.41155677
Ethiopia,ETH,2006,56.6274319
Ethiopia,ETH,2007,54.82519048
Ethiopia,ETH,2008,51.89165101
Ethiopia,ETH,2009,54.91850808
Ethiopia,ETH,2010,54.16869313
Ethiopia,ETH,2011,57.04528447
Ethiopia,ETH,2012,57.38247826
Ethiopia,ETH,2013,56.88600316
Ethiopia,ETH,2014,58.7097224
Euro area,,1995,77.1457129905439
Euro area,,1996,76.9556308264914
Euro area,,1997,76.380030967716
Euro area,,1998,75.8078832139253
Euro area,,1999,75.5954234996892
Euro area,,2000,75.6262765060492
Euro area,,2001,75.7269169405133
Euro area,,2002,75.5578090085717
Euro area,,2003,75.2741339282137
Euro area,,2004,74.9089689740263
Euro area,,2005,75.1997119048351
Euro area,,2006,76.1086249142408
Euro area,,2007,76.0058814981525
Euro area,,2008,76.2045728757816
Euro area,,2009,76.8265070448202
Euro area,,2010,76.7011149675145
Euro area,,2011,76.0585508263574
Euro area,,2012,75.9996943786108
Euro area,,2013,76.2655085474569
Euro area,,2014,76.6070129505978
Europe & Central Asia,,1995,77.1843458181028
Europe & Central Asia,,1996,76.9084867182874
Europe & Central Asia,,1997,76.1594444937213
Europe & Central Asia,,1998,75.5838511381638
Europe & Central Asia,,1999,75.5473749250771
Europe & Central Asia,,2000,75.3377724374642
Europe & Central Asia,,2001,75.315673344394
Europe & Central Asia,,2002,75.3929607225934
Europe & Central Asia,,2003,75.230070621568
Europe & Central Asia,,2004,75.0895236007833
Europe & Central Asia,,2005,75.2116203926297
Europe & Central Asia,,2006,75.8885742654828
Europe & Central Asia,,2007,75.6449196187371
Europe & Central Asia,,2008,75.4814837672618
Europe & Central Asia,,2009,76.25963895669
Europe & Central Asia,,2010,75.8479946801794
Europe & Central Asia,,2011,75.2513756037393
Europe & Central Asia,,2012,75.0673638557367
Europe & Central Asia,,2013,75.0441721127986
Europe & Central Asia,,2014,75.5209108611786
Europe & Central Asia (IDA & IBRD),,1995,71.6995943305017
Europe & Central Asia (IDA & IBRD),,1996,70.2448593428064
Europe & Central Asia (IDA & IBRD),,1997,69.7064385705653
Europe & Central Asia (IDA & IBRD),,1998,65.8913760580724
Europe & Central Asia (IDA & IBRD),,1999,63.9673421043621
Europe & Central Asia (IDA & IBRD),,2000,63.4601327820573
Europe & Central Asia (IDA & IBRD),,2001,64.4967832530067
Europe & Central Asia (IDA & IBRD),,2002,65.0288950980294
Europe & Central Asia (IDA & IBRD),,2003,65.5161829061108
Europe & Central Asia (IDA & IBRD),,2004,64.646450774482
Europe & Central Asia (IDA & IBRD),,2005,65.1389277302804
Europe & Central Asia (IDA & IBRD),,2006,65.491595587676
Europe & Central Asia (IDA & IBRD),,2007,65.9748827966059
Europe & Central Asia (IDA & IBRD),,2008,63.5625469061569
Europe & Central Asia (IDA & IBRD),,2009,64.1652284476478
Europe & Central Asia (IDA & IBRD),,2010,62.8061954579076
Europe & Central Asia (IDA & IBRD),,2011,61.6408497735023
Europe & Central Asia (IDA & IBRD),,2012,61.4844278820182
Europe & Central Asia (IDA & IBRD),,2013,59.7398874111013
Europe & Central Asia (IDA & IBRD),,2014,60.2270991155373
Europe & Central Asia (excluding high income),,1995,71.4254286224758
Europe & Central Asia (excluding high income),,1996,69.544884224883
Europe & Central Asia (excluding high income),,1997,69.3108375574627
Europe & Central Asia (excluding high income),,1998,66.0200754722096
Europe & Central Asia (excluding high income),,1999,61.9443150588972
Europe & Central Asia (excluding high income),,2000,61.8182667246952
Europe & Central Asia (excluding high income),,2001,62.3965200754024
Europe & Central Asia (excluding high income),,2002,63.387732245254
Europe & Central Asia (excluding high income),,2003,64.5031626820204
Europe & Central Asia (excluding high income),,2004,63.8251862043996
Europe & Central Asia (excluding high income),,2005,64.3113051474299
Europe & Central Asia (excluding high income),,2006,64.6970519078586
Europe & Central Asia (excluding high income),,2007,65.1996371870141
Europe & Central Asia (excluding high income),,2008,62.088607110041
Europe & Central Asia (excluding high income),,2009,62.8703493328312
Europe & Central Asia (excluding high income),,2010,61.4136866063255
Europe & Central Asia (excluding high income),,2011,60.2837022003356
Europe & Central Asia (excluding high income),,2012,60.4278380538926
Europe & Central Asia (excluding high income),,2013,58.3078060016405
Europe & Central Asia (excluding high income),,2014,58.6456568310594
European Union,,1995,78.21767495849
European Union,,1996,78.0010961481617
European Union,,1997,77.270471455359
European Union,,1998,76.7035654175494
European Union,,1999,76.7209212781019
European Union,,2000,76.5983304215357
European Union,,2001,76.4756506387255
European Union,,2002,76.5053042101934
European Union,,2003,76.2393203663379
European Union,,2004,76.1415674037153
European Union,,2005,76.3443820465774
European Union,,2006,77.1803302624295
European Union,,2007,76.9733793238584
European Union,,2008,77.1604245602356
European Union,,2009,77.8129164070469
European Union,,2010,77.774340472243
European Union,,2011,77.3158174346108
European Union,,2012,77.2932436529505
European Union,,2013,77.5525591541814
European Union,,2014,77.8146321898228
Fiji,FJI,1995,79.12579911
Fiji,FJI,1996,80.78724808
Fiji,FJI,1997,81.89548445
Fiji,FJI,1998,81.77947034
Fiji,FJI,1999,79.67231874
Fiji,FJI,2000,83.63353197
Fiji,FJI,2001,80.09115349
Fiji,FJI,2002,81.98874307
Fiji,FJI,2003,80.54875835
Fiji,FJI,2004,80.04069148
Fiji,FJI,2005,81.38165642
Fiji,FJI,2006,78.52786871
Fiji,FJI,2007,74.64875405
Fiji,FJI,2008,75.58008604
Fiji,FJI,2009,69.37392531
Fiji,FJI,2010,70.13431074
Fiji,FJI,2011,66.00883953
Fiji,FJI,2012,66.33749818
Fiji,FJI,2013,68.08238649
Fiji,FJI,2014,65.80966995
Finland,FIN,1995,71.68518342
Finland,FIN,1996,71.62262244
Finland,FIN,1997,72.10941082
Finland,FIN,1998,72.47012607
Finland,FIN,1999,71.45781427
Finland,FIN,2000,71.26236488
Finland,FIN,2001,71.96775563
Finland,FIN,2002,72.45497254
Finland,FIN,2003,72.77745425
Finland,FIN,2004,73.29616259
Finland,FIN,2005,73.81091692
Finland,FIN,2006,74.91880261
Finland,FIN,2007,74.5269676
Finland,FIN,2008,74.85867429
Finland,FIN,2009,74.93613355
Finland,FIN,2010,74.49991972
Finland,FIN,2011,74.94373806
Finland,FIN,2012,75.72230934
Finland,FIN,2013,75.46088355
Finland,FIN,2014,75.30870712
Fragile and conflict affected situations,,1995,36.3475518135042
Fragile and conflict affected situations,,1996,38.2020738833044
Fragile and conflict affected situations,,1997,39.0990898798268
Fragile and conflict affected situations,,1998,35.0727419599657
Fragile and conflict affected situations,,1999,34.370868361758
Fragile and conflict affected situations,,2000,36.9128750116597
Fragile and conflict affected situations,,2001,41.7093214818928
Fragile and conflict affected situations,,2002,42.3397401582414
Fragile and conflict affected situations,,2003,42.1904392297294
Fragile and conflict affected situations,,2004,46.5781549085915
