Entity,Code,Year,"Land (crop, pasture) ($)",Protected areas ($),"Fossil energy resources (oil, natural gas, coal) ($)",Metals and minerals ($),Net foreign assets ($),Produced capital ($),"Forest, timber ($)","Forest, non-timber ($)",Human capital ($)
Gambia,GMB,2010,1068.7,61.32,0,0,-474.05,1610.92,25.13,86.72,2923.59
Gambia,GMB,2014,1234.17,71.87,0,0,-495.69,1544.81,30.19,77.15,2745.23
Georgia,GEO,1995,5345.81,239.42,172.77,22.2,-460.45,12432.29,40.29,435.75,4931.21
Georgia,GEO,2000,7933.14,661.3,83.28,33.2,-1157.24,13413.86,53.17,467.59,6276.27
Georgia,GEO,2005,8000.82,1008.53,205.95,151.67,-1505.66,15442.36,66.96,495.2,4970.95
Georgia,GEO,2010,4336.39,728.39,152.34,519.25,-3457.52,17558.09,116.79,538.01,12874.65
Georgia,GEO,2014,4845.78,920.07,162.56,754.67,-4682.28,20414.63,94.4,566.73,21250.82
Germany,DEU,1995,3467.93,956.27,209.1,0,1830.12,169962.86,241.9,1541.92,346277.27
Germany,DEU,2000,3019.48,1044.44,138.19,0.83,25.42,184591.44,285.2,1535.57,352328.01
Germany,DEU,2005,2990.75,825.52,486.81,0.75,4421.42,188676.98,299.04,1534.81,332153.08
Germany,DEU,2010,3295.28,1112.62,943.72,10.04,9574.55,216137.34,370.71,1551.21,408266.96
Germany,DEU,2014,3794.7,1238.28,725.14,13.16,16804.31,236890.67,361.77,1567.53,467668.1
Ghana,GHA,1995,5581.64,1051.69,0,108.27,-523.72,5062.09,509.96,158.56,6345.49
Ghana,GHA,2000,6189.63,525.6,0,36.23,-1202.9,3600.29,425.44,143.45,6796.36
Ghana,GHA,2005,7144.48,404.99,4.88,184.66,-592.8,5028.95,212.45,128.29,7776.83
Ghana,GHA,2010,4585.8,338.65,7.01,598.98,-581.46,2890.23,115.48,114.61,10922.22
Ghana,GHA,2014,6022.13,495.74,731.81,941.26,-994.77,3767.95,121.82,105.33,13852.92
Greece,GRC,1995,12172.87,1060.07,159.08,99.25,-2211.07,115796.32,97.63,1879.71,135185.54
Greece,GRC,2000,10004.35,1484.58,55.62,34.13,-8357.37,129063.95,71.46,1917.74,155885.14
Greece,GRC,2005,9004.55,1733.9,420.55,133.38,-19177.72,137668.37,58.5,1965.15,184498.18
Greece,GRC,2010,6936.94,1795.52,908.1,747.86,-25755.5,140305.76,54.27,2019.6,178984.22
Greece,GRC,2014,6935.19,2009.35,654.3,762.73,-25178.8,134895.04,58.73,2125.87,105662.82
Guatemala,GTM,1995,4461.42,1456.1,121.13,0,-416.44,5107.26,296.04,1495.72,20875.26
Guatemala,GTM,2000,3770.51,1119.32,277.72,0.37,-531.74,6241.48,194.29,1245.45,22710.54
Guatemala,GTM,2005,3286.25,1112.45,507.4,21.76,-357.89,9423.09,144.35,1033.38,24700.51
Guatemala,GTM,2010,4667.56,1841.29,267.33,164.64,-491.12,9927.09,163.03,874.02,24015.83
Guatemala,GTM,2014,5329.44,1956.08,224.16,513.88,-862.25,9554.89,201.09,772.54,25450.16
Guinea,GIN,1995,1868.05,75.82,0,1065.21,-378.44,963.58,110.45,232.27,652.51
Guinea,GIN,2000,2226.56,83.76,0,638.58,-471.35,1423.24,136.85,202.28,626.68
Guinea,GIN,2005,3186.11,292.71,0,844.02,-525.68,1328.79,200.7,179.28,697.59
Guinea,GIN,2010,4509.08,709.17,0,1036.79,-367.62,898.8,253.8,153.2,688.12
Guinea,GIN,2014,4937.21,962.49,0,1022.39,-279.42,1307.37,237.75,134.41,620.55
Guyana,GUY,1995,9966.88,578.18,0,4144.07,-7808.97,10645.89,9822.23,13237.19,15727.38
Guyana,GUY,2000,11001.06,901.49,0,3198.45,-5797.43,10797.3,8814.87,12945.55,17017.96
Guyana,GUY,2005,10010.35,1773.83,0,2424.31,-5073.29,10719.55,6821.81,12925.15,15335.91
Guyana,GUY,2010,7273.9,1829.14,0,3781.19,-2371.87,11707.5,7681.71,12718.76,17816.39
Guyana,GUY,2014,8440.72,2302.14,0,6857.42,-3803.25,12032.92,9506.26,12513.15,21801
Haiti,HTI,1995,2275.47,9.54,0,0,-172.56,3710.51,9.11,44.93,5199.54
Haiti,HTI,2000,2113.68,9.8,0,0,-257,3756.22,9.65,39.82,7105.35
Haiti,HTI,2005,2130.73,10.96,0,0,-243.93,4442.99,8.69,35.4,5407.12
Haiti,HTI,2010,2366.51,10.05,0,0,93.12,4908.3,9.5,31.55,3609.21
Haiti,HTI,2014,2965.99,9.61,0,0,-100.86,5988.58,13.52,28.89,6134.69
Honduras,HND,1995,7203.3,3134.12,0,62.04,-2200.15,6940.61,1211.65,3284.8,14235.97
Honduras,HND,2000,6250.78,4993.06,0,55.87,-1181.49,6152.7,766.19,2588.64,16482.45
